title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
LLM-based agentic systems in medicine and healthcare,J Qiu; K Lam; G Li; A Acharya; TY Wong,2024,Nature Machine …,"Here we highlight four areas in which LLM agents present new opportunities, including  clinical workflow automation, trustworthy medical AI, multi-agent-aided diagnosis and health",https://www.nature.com/articles/s42256-024-00944-1,,252,"/scholar?cites=7277691959561725059&as_sdt=5,33&sciodt=0,33&hl=en"
Survey on evaluation of llm-based agents,A Yehudai; L Eden; A Li; G Uziel; Y Zhao,2025,arXiv preprint arXiv …,"Agents”, “Agents,” and “Agentic Systems”. We adopt the terms “LLM-based agents” and “LLM  agents” to emphasize both the foundational technology (LLMs) and the agentic capabilities",https://arxiv.org/abs/2503.16416,https://arxiv.org/pdf/2503.16416,140,"/scholar?cites=15426870596102221307&as_sdt=5,33&sciodt=0,33&hl=en"
"Trism for agentic ai: A review of trust, risk, and security management in llm-based agentic multi-agent systems",S Raza; R Sapkota; M Karkee; C Emmanouilidis,2026,AI Open,"the conceptual foundations of Agentic AI and highlight its architectural distinctions from  traditional AI agents. We then adapt and extend the AI TRiSM framework for Agentic AI, structured",https://www.sciencedirect.com/science/article/pii/S2666651026000069,https://www.sciencedirect.com/science/article/pii/S2666651026000069,70,"/scholar?cites=16170005542594061268&as_sdt=5,33&sciodt=0,33&hl=en"
A survey of llm-based agents in medicine: How far are we from baymax?,W Wang; Z Ma; Z Wang; C Wu; J Ji,2025,Findings of the …,This section outlines the core differences between LLMs and LLM-based agents and  highlights the unique considerations required for deploying such agents in medicine. 2.1 LLM vs.,https://aclanthology.org/2025.findings-acl.539/,https://aclanthology.org/2025.findings-acl.539.pdf,107,"/scholar?cites=12217031949031007634&as_sdt=5,33&sciodt=0,33&hl=en"
LLM multi-agent systems: Challenges and open problems,S Han; Q Zhang; W Jin; Z Xu,2024,arXiv preprint arXiv:2402.03578,"of multi-agent systems in this  LLM agents beyond the confines of single-agent paradigms.  By leveraging the specialized abilities and collaborative dynamics among agents, multi-agent",https://arxiv.org/abs/2402.03578,https://arxiv.org/pdf/2402.03578,262,"/scholar?cites=1062942653179028763&as_sdt=5,33&sciodt=0,33&hl=en"
"From llms to llm-based agents for software engineering: A survey of current, challenges and future",H Jin; L Huang; H Cai; J Yan; B Li; H Chen,2024,arXiv preprint arXiv …,for LLMs and LLM-based agents for software engineering. In  the work of LLMs and LLM-based  agents from these six topics on pushing the boundaries of LLM-based agents in software,https://arxiv.org/abs/2408.02479,https://arxiv.org/pdf/2408.02479,237,"/scholar?cites=18228541973918888018&as_sdt=5,33&sciodt=0,33&hl=en"
Evil geniuses: Delving into the safety of llm-based agents,Y Tian; X Yang; J Zhang; Y Dong; H Su,2023,arXiv preprint arXiv:2311.11855,"Our findings indicate that with an increasing number of agents, the attack success rate in  LLM-based agents improves, resulting in more detailed and plausible harmful behaviors.",https://arxiv.org/abs/2311.11855,https://arxiv.org/pdf/2311.11855,130,"/scholar?cites=4790374299251266578&as_sdt=5,33&sciodt=0,33&hl=en"
A dynamic LLM-powered agent network for task-oriented agent collaboration,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2024,First Conference on Language …,"for LLM-powered agent collaboration named Dynamic LLMPowered Agent Network (DyLAN),  facilitating dynamic communication structures and automatically task-oriented agent",https://openreview.net/forum?noteId=s5GcMkBpGb,https://openreview.net/pdf?id=XII0Wp1XA9,156,"/scholar?cites=3026400046568557452&as_sdt=5,33&sciodt=0,33&hl=en"
Simulating classroom education with llm-empowered agents,Z Zhang; D Zhang-Li; J Yu; L Gong; J Zhou,2025,Proceedings of the …,"classroom agents enhances  -agent classroom, including collaborative teaching, discussions,  emotional company and discipline management. In summary, the LLM-based multi-agent",https://aclanthology.org/2025.naacl-long.520/,https://aclanthology.org/2025.naacl-long.520.pdf,203,"/scholar?cites=17635113408422097075&as_sdt=5,33&sciodt=0,33&hl=en"
Trustagent: Towards safe and trustworthy llm-based agents,W Hua; X Yang; M Jin; Z Li; W Cheng,2024,Findings of the …,We considered five domains where LLM agents  LLM agent manages task achievement  while mitigating these risks; the helpfulness metric evaluates the effectiveness of the LLM agent,https://aclanthology.org/2024.findings-emnlp.585/,https://aclanthology.org/2024.findings-emnlp.585.pdf,70,"/scholar?cites=12900998129346945868&as_sdt=5,33&sciodt=0,33&hl=en"
Large language model-based agents for software engineering: A survey,J Liu; K Wang; Y Chen; X Peng; Z Chen,2024,ACM Transactions on …,"The synergy between multiple agents and human interaction brings  LLM-based agents  for SE. We collect 124 papers and categorize them from two perspectives, ie, the SE and agent",https://dl.acm.org/doi/abs/10.1145/3796507,https://dl.acm.org/doi/pdf/10.1145/3796507,193,"/scholar?cites=10431165992050133755&as_sdt=5,33&sciodt=0,33&hl=en"
LLM-Based Agents for Tool Learning: A Survey: W. Xu et al.,W Xu; C Huang; S Gao; S Shang,2025,Data Science and Engineering,"[111] propose decomposing the general multi-agent framework into three  LLM agent, with  each agent specializing in its designated task and collaboratively interacting with other agents",https://link.springer.com/article/10.1007/s41019-025-00296-9,https://link.springer.com/article/10.1007/s41019-025-00296-9,46,"/scholar?cites=2464249754623208169&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on the optimization of large language model-based agents,S Du; J Zhao; J Shi; Z Xie; X Jiang; Y Bai,2026,ACM Computing …,"review of LLM-based agent optimization approaches,  -free strategies that optimize agent  behavior through prompt  for agents, review key applications of LLM-based agents, and",https://dl.acm.org/doi/abs/10.1145/3789261,https://dl.acm.org/doi/full/10.1145/3789261,24,"/scholar?cites=11666181406528668769&as_sdt=5,33&sciodt=0,33&hl=en"
Isolategpt: An execution isolation architecture for llm-based agentic systems,Y Wu; F Roesner; T Kohno; N Zhang; U Iqbal,2024,arXiv preprint arXiv …,"LLM vendors have recently also started supporting third-party apps [18], [19], [3], which is   utility of LLM-based systems. 1) LLM apps architecture: The exact LLM application architecture",https://arxiv.org/abs/2403.04960,https://arxiv.org/pdf/2403.04960,65,"/scholar?cites=5724991464492422897&as_sdt=5,33&sciodt=0,33&hl=en"
"Repairagent: An autonomous, llm-based agent for program repair",I Bouzenia; P Devanbu; M Pradel,2025,2025 IEEE/ACM 47th …,A key novelty in our approach is to let an LLM agent autonomously decide which tools to  invoke to fix a bug. The tools we provide to the agent (Table II) are inspired by the tools that,https://ieeexplore.ieee.org/abstract/document/11029914/,https://arxiv.org/pdf/2403.17134?,308,"/scholar?cites=15142625290678404182&as_sdt=5,33&sciodt=0,33&hl=en"
"Frontiers of large language model-based agentic systems-construction, efficacy and safety",J He; R Ghosh; K Walia; J Chen; T Dhadiwal,2024,Proceedings of the 33rd …,"Large Language Model (LLM)-based autonomous agents,  The tutorial also extends the  discussion to multi-agent  -source frameworks for LLM-based agent development and discusses",https://dl.acm.org/doi/abs/10.1145/3627673.3679105,https://dl.acm.org/doi/pdf/10.1145/3627673.3679105,11,"/scholar?cites=10569559045420325030&as_sdt=5,33&sciodt=0,33&hl=en"
Trustagent: Towards safe and trustworthy llm-based agents through agent constitution,W Hua; X Yang; M Jin; Z Li; W Cheng,2024,… Models and AI Agents …,", measuring how well the LLM agent manages task achievement while mitigating these risks;  the helpfulness metric evaluates the effectiveness of the LLM agent in achieving expected",https://openreview.net/forum?id=ejl3NCLQBj,https://openreview.net/pdf?id=ejl3NCLQBj,73,"/scholar?cites=11521194880053734097&as_sdt=5,33&sciodt=0,33&hl=en"
Exploration of llm multi-agent application implementation based on langgraph+ crewai,Z Duan; J Wang,2024,arXiv preprint arXiv:2411.18241,"(LLM) and a multi-agent  autonomous agents based on LLM can leverage the framework  capabilities of LangGraph and CrewAI to automatically perform various tasks, endowing Agents",https://arxiv.org/abs/2411.18241,https://arxiv.org/pdf/2411.18241,50,"/scholar?cites=4414536945564259235&as_sdt=5,33&sciodt=0,33&hl=en"
