title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Agentcoord: Visually exploring coordination strategy for llm-based multi-agent collaboration,B Pan; J Lu; K Wang; L Zheng; Z Wen; Y Feng,2025,Computers & …,"To address this, we present a visual agent collaboration  the coordination strategies of LLM  agents. We first establish a structured representation for LLM-based multi-agent coordination",https://www.sciencedirect.com/science/article/pii/S0097849325001797,https://arxiv.org/pdf/2404.11943,63,"/scholar?cites=751483703909328379&as_sdt=5,33&sciodt=0,33&hl=en"
Multiagentbench: Evaluating the collaboration and competition of llm agents,K Zhu; H Du; Z Hong; X Yang; S Guo,2025,Proceedings of the …,"(Multi-agent cooRdination Backbone with LLM Engine),  that rigorously evaluates LLM-based  multiagent systems in six  ""aha-moments"" in multi-agent coordination—agents begin to",https://aclanthology.org/2025.acl-long.421/,https://aclanthology.org/2025.acl-long.421.pdf,117,"/scholar?cites=18373405712514968202&as_sdt=5,33&sciodt=0,33&hl=en"
Dynamic llm-agent network: An llm-agent collaboration framework with agent team optimization,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2023,arXiv preprint arXiv:2310.02170,"To improve the efficiency and the performance of LLM-agent collaboration on various  tasks, we propose to (1) add inference-time agent selection at a middle time step and (2) use",https://arxiv.org/abs/2310.02170,https://arxiv.org/pdf/2310.02170,254,"/scholar?cites=14033654343850454790&as_sdt=5,33&sciodt=0,33&hl=en"
Multi-agent collaboration: Harnessing the power of intelligent llm agents,Y Talebirad; A Nadiri,2023,arXiv preprint arXiv:2306.03314,each agent and encouraging a synergistic relationship amongst them.  multi-agent collaboration  in the realm of IGAs. The exploration and demonstration of such a model of collaboration,https://arxiv.org/abs/2306.03314,https://arxiv.org/pdf/2306.03314,443,"/scholar?cites=15411602927533565437&as_sdt=5,33&sciodt=0,33&hl=en"
Scaling large language model-based multi-agent collaboration,C Qian; Z Xie; Y Wang; W Liu; K Zhu; H Xia,2024,arXiv preprint arXiv …,"multi-agent collaboration by introducing MACNET, a scalable framework that utilizes graphs  to organize agents  it effectively supports collaboration among over a thousand agents, with",https://arxiv.org/abs/2406.07155,https://arxiv.org/pdf/2406.07155?,176,"/scholar?cites=9698518956329935677&as_sdt=5,33&sciodt=0,33&hl=en"
Multi-agent collaboration mechanisms: A survey of llms,KT Tran; D Dao; MD Nguyen; QV Pham,2025,arXiv preprint arXiv …,"between LLM-based agents in multi-agent collaborative systems. With collaboration as the   on the operational mechanisms of LLM-based multi-agent collaboration, emphasizing the """,https://arxiv.org/abs/2501.06322,https://arxiv.org/pdf/2501.06322,434,"/scholar?cites=5890953875175699534&as_sdt=5,33&sciodt=0,33&hl=en"
A dynamic LLM-powered agent network for task-oriented agent collaboration,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2024,First Conference on Language …,"for LLM-powered agent collaboration named Dynamic LLMPowered Agent Network (DyLAN),  facilitating dynamic communication structures and automatically task-oriented agent",https://openreview.net/forum?noteId=s5GcMkBpGb,https://openreview.net/pdf?id=XII0Wp1XA9,156,"/scholar?cites=3026400046568557452&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-coordination: evaluating and analyzing multi-agent coordination abilities in large language models,S Agashe; Y Fan; A Reyna,2025,Findings of the Association …,"We also observe that LLM agents are capable of collaborating with new  ) that fail to adapt  to unseen agents.  , we pair our LLM agents as well as baselines with proxy-human agents.",https://aclanthology.org/2025.findings-naacl.448/,https://aclanthology.org/2025.findings-naacl.448.pdf,89,"/scholar?cites=17807496829242414710&as_sdt=5,33&sciodt=0,33&hl=en"
On the resilience of llm-based multi-agent collaboration with faulty agents,J Huang; J Zhou; T Jin; X Zhou; Z Chen,2024,arXiv preprint arXiv …,Error Rate We examine two aspects of error injection in multi-agent collaboration systems:  Macro Perspective: We control the ratio of erroneous messages produced by a faulty agent in,https://arxiv.org/abs/2408.00989,https://arxiv.org/pdf/2408.00989,49,"/scholar?cites=2137458891747473244&as_sdt=5,33&sciodt=0,33&hl=en"
Llm collaboration with multi-agent reinforcement learning,S Liu; Z Liang; X Lyu; C Amato,2026,… of the AAAI Conference on Artificial …,"each agent to encourage collaboration. To address this challenge, we model LLM collaboration  as a cooperative Multi-Agent  We develop a multi-agent, multi-turn algorithm, MultiAgent",https://ojs.aaai.org/index.php/AAAI/article/view/40487,https://ojs.aaai.org/index.php/AAAI/article/download/40487/44448,18,"/scholar?cites=3597771097166850162&as_sdt=5,33&sciodt=0,33&hl=en"
Cooperate or collapse: Emergence of sustainable cooperation in a society of llm agents,G Piatti; Z Jin; M Kleiman-Weiner,2024,Advances in …,LLM-based agent architecture and test it with the leading open and closed LLMs. We find that  all but the most powerful LLM agents  multi-agent communication between agents is critical,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ca9567d8ef6b2ea2da0d7eed57b933ee-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/ca9567d8ef6b2ea2da0d7eed57b933ee-Paper-Conference.pdf,116,"/scholar?cites=3935326055934610367&as_sdt=5,33&sciodt=0,33&hl=en"
"Magic: Investigation of large language model powered multi-agent in cognition, adaptability, rationality and collaboration",L Xu; Z Hu; D Zhou; H Ren; Z Dong,2024,Proceedings of the …,"multiagent system, we define the following metrics. First, we average the win rates of all the  roles the challenger LLM  Win Rate is a straightforward indicator of the success of an LLM in",https://aclanthology.org/2024.emnlp-main.416/,https://aclanthology.org/2024.emnlp-main.416.pdf,111,"/scholar?cites=12567081629473435830&as_sdt=5,33&sciodt=0,33&hl=en"
Exploring collaboration mechanisms for llm agents: A social psychology view,J Zhang; X Xu; N Zhang; R Liu; B Hooi,2023,arXiv preprint arXiv …,"Moreover, our results further illustrate that LLM agents manifest human-like social behaviors  the collaboration of LLM agents, inspiring further investigations into the collaboration",https://arxiv.org/abs/2310.02124,https://arxiv.org/pdf/2310.02124,307,"/scholar?cites=4636593822918951983&as_sdt=5,33&sciodt=0,33&hl=en"
