title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Cut the crap: An economical communication pipeline for llm-based multi-agent systems,G Zhang; Y Yue; Z Li; S Yun; G Wan; K Wang,2024,arXiv preprint arXiv …,"Multi-agent Communication We provide a graph-based description of the reasoning  in  task-oriented multi-agent systems. Given a query/task q, it is sequentially fed to each agent, which",https://arxiv.org/abs/2410.02506,https://arxiv.org/pdf/2410.02506,145,"/scholar?cites=1944541303192862019&as_sdt=5,33&sciodt=0,33&hl=en"
Beyond self-talk: A communication-centric survey of llm-based multi-agent systems,B Yan; Z Zhou; L Zhang; L Zhang; Z Zhou,2025,arXiv preprint arXiv …,"communication in coordinating agent behaviors and interactions. To address this gap, this  paper presents a comprehensive survey of LLM-MAS from a communication- communication (",https://arxiv.org/abs/2502.14321,https://arxiv.org/pdf/2502.14321,82,"/scholar?cites=17442279443176846074&as_sdt=5,33&sciodt=0,33&hl=en"
Adapting llm agents through communication,K Wang; Y Lu; M Santacroce; Y Gong; C Zhang,2023,NA,"While these prominent research works focus on aligning LLMs for general instruction-following,  our objective is to adapt LLM agents for specific tasks or environments.",https://openreview.net/forum?id=wOelVq8fwL,https://openreview.net/pdf?id=wOelVq8fwL,29,"/scholar?cites=17510879803628757619&as_sdt=5,33&sciodt=0,33&hl=en"
Large language model enhanced multi-agent systems for 6G communications,F Jiang; Y Peng; L Dong; K Wang,2024,IEEE Wireless …,"To this end, we propose CommLLM, a multi-agent system with customized communication   for constructing AI agents. In the article, we define a typical LLM enhanced agent system in Fig",https://ieeexplore.ieee.org/abstract/document/10638533/,https://arxiv.org/pdf/2312.07850,196,"/scholar?cites=12439253059233971415&as_sdt=5,33&sciodt=0,33&hl=en"
"A survey of llm-driven ai agent communication: Protocols, security risks, and defense countermeasures",D Kong; S Lin; Z Xu; Z Wang; M Li; Y Li,2025,arXiv preprint arXiv …,"agent communication development, this paper presents a comprehensive survey of agent  communication  More precisely, we present the first clear definition of agent communication.",https://arxiv.org/abs/2506.19676,https://arxiv.org/pdf/2506.19676,48,"/scholar?cites=2162921262184037896&as_sdt=5,33&sciodt=0,33&hl=en"
Llm harmony: Multi-agent communication for problem solving,S Rasal,2024,arXiv preprint arXiv:2401.01312,"This paper introduces a novel multi-agent communication framework, inspired by the  multiple  LLM agents, each with a distinct persona, engaged in role-playing communication, offering",https://arxiv.org/abs/2401.01312,https://arxiv.org/pdf/2401.01312,48,"/scholar?cites=11510423689847668854&as_sdt=5,33&sciodt=0,33&hl=en"
Red-teaming llm multi-agent systems via communication attacks,P He; Y Lin; S Dong; H Xu; Y Xing,2025,Findings of the …,"passing between agents. To enable the attack under the challenges of limited control and  rolerestricted communication format, we develop an LLM-powered adversarial agent with a re",https://aclanthology.org/2025.findings-acl.349/,https://aclanthology.org/2025.findings-acl.349.pdf,68,"/scholar?cites=4575843784399184237&as_sdt=5,33&sciodt=0,33&hl=en"
"… of agent interoperability protocols: Model context protocol (mcp), agent communication protocol (acp), agent-to-agent protocol (a2a), and agent network protocol (anp)",A Ehtesham; A Singh; GK Gupta; S Kumar,2025,arXiv preprint arXiv …,"-level standards that prescribe a common schema for function metadata, dynamic capability  negotiation, and end-to-end security guarantees across heterogeneous LLM agent platforms",https://arxiv.org/abs/2505.02279,https://arxiv.org/pdf/2505.02279,137,"/scholar?cites=14859703164805953672&as_sdt=5,33&sciodt=0,33&hl=en"
Understanding the information propagation effects of communication topologies in llm-based multi-agent systems,X Shen; Y Liu; Y Dai; Y Wang; R Miao,2025,Proceedings of the …,"Topology Design Problem In this paper, we aim to design a communication topology for  a LLM-based MAS that maximizes the utility of the collective output under a given task query.",https://aclanthology.org/2025.emnlp-main.623/,https://aclanthology.org/2025.emnlp-main.623.pdf,26,"/scholar?cites=7758758790975832849&as_sdt=5,33&sciodt=0,33&hl=en"
"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",X Li; S Wang; S Zeng; Y Wu; Y Yang,2024,Vicinagearth,"multiple specialized agents, endowed with distinct identities, engage in communication and   This process underscores the importance of inter-agent communication, reasoning with",https://link.springer.com/article/10.1007/s44336-024-00009-2,https://link.springer.com/article/10.1007/s44336-024-00009-2,515,"/scholar?cites=2428406754672008977&as_sdt=5,33&sciodt=0,33&hl=en"
Large language model based multi-agents: A survey of progress and challenges,T Guo; X Chen; Y Wang; R Chang; S Pei,2024,arXiv preprint arXiv …,"LLM-MA Systems: Interface, Profiling, Communication, and  of LLM-MA systems, where  multiple autonomous agents  We dissect agent communication from three perspectives: 1)",https://arxiv.org/abs/2402.01680,https://arxiv.org/pdf/2402.01680,1529,"/scholar?cites=14923148813615145696&as_sdt=5,33&sciodt=0,33&hl=en"
Agentdropout: Dynamic agent elimination for token-efficient and high-performance llm-based multi-agent collaboration,Z Wang; Y Wang; X Liu; L Ding; M Zhang,2025,Proceedings of the …,"communication efficiency and suboptimal task performance, making the careful design of the  agents’ communication  agents and communication across different communication rounds",https://aclanthology.org/2025.acl-long.1170/,https://aclanthology.org/2025.acl-long.1170.pdf,41,"/scholar?cites=10203811542186187904&as_sdt=5,33&sciodt=0,33&hl=en"
Amas: Adaptively determining communication topology for llm-based multi-agent system,HY Leong; Y Li; Y Wu; W Ouyang; W Zhu,2025,Proceedings of the …,"Each agent system in our study relies on a large language model (LLM) as its core  backbone. Specifically, we employ the following models in our evaluations: (a) GPT-3.5-turbo3",https://aclanthology.org/2025.emnlp-industry.144/,https://aclanthology.org/2025.emnlp-industry.144.pdf,11,"/scholar?cites=888572568047648953&as_sdt=5,33&sciodt=0,33&hl=en"
"Exploring large language model based intelligent agents: Definitions, methods, and prospects",Y Cheng; C Zhang; Z Zhang; X Meng; S Hong,2024,arXiv preprint arXiv …,"and multi-agent systems. It covers their  LLMbased agents in multi-agent systems, including  multi-role collaboration, message passing, and strategies to alleviate communication issues",https://arxiv.org/abs/2401.03428,https://arxiv.org/pdf/2401.03428,251,"/scholar?cites=13524954284397213174&as_sdt=5,33&sciodt=0,33&hl=en"
Self-adaptive large language model (llm)-based multiagent systems,N Nascimento; P Alencar,2023,2023 IEEE International …,"technologies into MASs to boost communication and agent autonomy. Our proposal  encompasses the development of a novel LLM/GPT-based agent architecture, focusing not only on",https://ieeexplore.ieee.org/abstract/document/10336211/,https://arxiv.org/pdf/2307.06187,113,"/scholar?cites=1256451148422809412&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-based multi-agent systems: Techniques and business perspectives,Y Yang; Q Peng; J Wang; Y Wen; W Zhang,2024,arXiv preprint arXiv …,"be reformulated and reproductionized using LLM agents. The LLM agents can perceive,  control,  Besides the environment-interaction property, the LLM agents can call various external",https://arxiv.org/abs/2411.14033,https://arxiv.org/pdf/2411.14033?,52,"/scholar?cites=13319848428665112776&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-based multi-agent reinforcement learning: Current and future directions,C Sun; S Huang; D Pompili,2024,arXiv preprint arXiv:2405.11106,"LLM-based MARL, in this letter, we survey the existing LLMbased single-agent and multi-agent   tasks of multiple agents with a common goal and communication among them. We also",https://arxiv.org/abs/2405.11106,https://arxiv.org/pdf/2405.11106,107,"/scholar?cites=18399392720555199071&as_sdt=5,33&sciodt=0,33&hl=en"
MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,Q Wang; T Wang; Z Tang; Q Li; N Chen,2025,Findings of the …,"File Management To enable effective interaction between LLM agents and external files,  we introduce an external storage module that manages all file-related tasks. This module",https://aclanthology.org/2025.findings-acl.259/,https://aclanthology.org/2025.findings-acl.259.pdf,40,"/scholar?cites=2692124544030748346&as_sdt=5,33&sciodt=0,33&hl=en"
Speechagents: Human-communication simulation with multi-modal multi-agent systems,D Zhang; Z Li; P Wang; X Zhang; Y Zhou,2024,arXiv preprint arXiv …,"modal LLM based multi-agent system for human communication  as the medium of information  exchange between agents.  of LLM-based agents in simulating human communication, we",https://arxiv.org/abs/2401.03945,https://arxiv.org/pdf/2401.03945,17,"/scholar?cites=6176253739757747229&as_sdt=5,33&sciodt=0,33&hl=en"
Adapting llm agents with universal feedback in communication,K Wang; Y Lu; M Santacroce; Y Gong; C Zhang,2023,arXiv preprint arXiv …,"While these prominent research works focus on aligning LLMs for general instruction-following,  our objective is to adapt LLM agents for specific tasks or environments.",https://arxiv.org/abs/2310.01444,https://arxiv.org/pdf/2310.01444,16,"/scholar?cites=8844384648554567983&as_sdt=5,33&sciodt=0,33&hl=en"
Player*: Enhancing llm-based multi-agent communication and interaction in murder mystery games,Q Zhu; R Zhao; B Liang; J Du; L Gui; Y He,2024,arXiv preprint arXiv …,of agents’ reasoning capabilities beyond binary outcomes.  LLM-driven heuristic search  framework in which the LLM dynamically decides whom to ask and what to ask in a multi-agent,https://arxiv.org/abs/2404.17662,https://arxiv.org/pdf/2404.17662,13,"/scholar?cites=14776235422279780653&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-based multi-agent decision-making: Challenges and future directions,C Sun; S Huang; D Pompili,2025,IEEE Robotics and Automation …,"In particular, we focus on the cooperative tasks of multiple agents with a common goal and  communication among them. We also consider human-in/on-the-loop scenarios enabled by",https://ieeexplore.ieee.org/abstract/document/10970024/,https://www.researchgate.net/profile/Chuanneng-Sun/publication/390938978_LLM-based_Multi-Agent_Decision-Making_Challenges_and_Future_Directions/links/6813f049ded433155740ee84/LLM-Based-Multi-Agent-Decision-Making-Challenges-and-Future-Directions.pdf,40,"/scholar?cites=13783302792976814805&as_sdt=5,33&sciodt=0,33&hl=en"
Survey of llm agent communication with mcp: A software design pattern centric review,A Sarkar; S Sarkar,2025,arXiv preprint arXiv:2506.05364,the reliability and scalability of communication in Large Language Model (LLM)-driven agentic   Context Protocol (MCP). It examines the foundational architectures of LLM-based agents,https://arxiv.org/abs/2506.05364,https://arxiv.org/pdf/2506.05364,18,"/scholar?cites=2924896575381894523&as_sdt=5,33&sciodt=0,33&hl=en"
Optima: Optimizing effectiveness and efficiency for llm-based multi-agent system,W Chen; J Yuan; C Qian; C Yang; Z Liu,2025,Findings of the …,"We introduce OPTIMA, a novel framework for training LLM-based MAS that significantly  enhances communication efficiency and task performance. Experiments show OPTIMA’s",https://aclanthology.org/2025.findings-acl.601/,https://aclanthology.org/2025.findings-acl.601.pdf,52,"/scholar?cites=15918288225463139761&as_sdt=5,33&sciodt=0,33&hl=en"
Adapting LLM Agents with Universal Communication Feedback,K Wang; Y Lu; M Santacroce; Y Gong,2025,Findings of the …,"To utilize our universal buffer for capturing agent interactions in various tasks, we introduce  diverse communication patterns tailored for both single-agent and multi-agent environments.",https://aclanthology.org/2025.findings-naacl.339/,https://aclanthology.org/2025.findings-naacl.339.pdf,4,"/scholar?cites=8063700328354444505&as_sdt=5,33&sciodt=0,33&hl=en"
A dynamic LLM-powered agent network for task-oriented agent collaboration,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2024,First Conference on Language …,"We propose a forward-backward message passing algorithm on the T-FFN termed agent  selection in Section 3.4, inspired by the back-propagation algorithm (Rumelhart et al., 1986)",https://openreview.net/forum?noteId=s5GcMkBpGb,https://openreview.net/pdf?id=XII0Wp1XA9,156,"/scholar?cites=3026400046568557452&as_sdt=5,33&sciodt=0,33&hl=en"
A survey of ai agent protocols,Y Yang; H Chai; Y Song; S Qi; M Wen; N Li,2025,arXiv preprint arXiv …,"Finally, we explore the future landscape of LLM agent protocol, outlining major research  directions and identifying the characteristics that next-generation protocols should embody to",https://arxiv.org/abs/2504.16736,https://arxiv.org/pdf/2504.16736,144,"/scholar?cites=10312449178314490774&as_sdt=5,33&sciodt=0,33&hl=en"
Safesieve: From heuristics to experience in progressive pruning for llm-based multi-agent communication,R Zhang; X Zhao; R Wang; S Chen; G Zhang,2026,Proceedings of the …,LLM-based multi-agent systems exhibit strong collaborative capabilities but often suffer from  redundant communication  multi-agent pruning algorithm that dynamically refines the inter-,https://ojs.aaai.org/index.php/AAAI/article/view/40236,https://ojs.aaai.org/index.php/AAAI/article/view/40236/44197,5,"/scholar?cites=5275254688123442799&as_sdt=5,33&sciodt=0,33&hl=en"
Agentbank: Towards generalized llm agents via fine-tuning on 50000+ interaction trajectories,Y Song; W Xiong; X Zhao; D Zhu; W Wu,2024,Findings of the …,"To initialize the training of SAMOYED, we formulate agent interaction  agent in the i-th round.  During the training process, we feed the entire interaction trajectory into a decoder-only LLM",https://aclanthology.org/2024.findings-emnlp.116/,https://aclanthology.org/2024.findings-emnlp.116.pdf,40,"/scholar?cites=298669497489984819&as_sdt=5,33&sciodt=0,33&hl=en"
Autogen: Enabling next-gen LLM applications via multi-agent conversations,Q Wu; G Bansal; J Zhang; Y Wu; B Li; E Zhu,2024,First conference on …,LLM applications by composing multiple agents to converse with each other to accomplish  tasks. AutoGen agents are  through actions of agents and message-passing between agents.,https://openreview.net/forum?id=BAakY1hNKS&utm_source=,https://openreview.net/pdf?id=BAakY1hNKS,1618,"/scholar?cites=8332866178449503775&as_sdt=5,33&sciodt=0,33&hl=en"
