title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Memory matters: The need to improve long-term memory in llm-agents,K Hatalis; D Christou; J Myers; S Jones,2023,Proceedings of the …,"Long-term memory solutions currently implemented via vector databases have significant   to develop LLM agents, describe their use of vector databases for long-term memory, identify",https://ojs.aaai.org/index.php/AAAI-SS/article/view/27688,https://ojs.aaai.org/index.php/AAAI-SS/article/download/27688/27461,102,"/scholar?cites=329469941284550594&as_sdt=5,33&sciodt=0,33&hl=en"
Mirix: Multi-agent memory system for llm-based agents,Y Wang; X Chen,2025,arXiv preprint arXiv:2507.07957,"This memory system, which we call MIRIX, is modular and  full memory system for LLM-based  agents. Moreover, when interacting with the Chat Agent, we propose an Active Retrieval",https://arxiv.org/abs/2507.07957,https://arxiv.org/pdf/2507.07957?,64,"/scholar?cites=17165080738112837085&as_sdt=5,33&sciodt=0,33&hl=en"
Arigraph: Learning knowledge graph world models with episodic memory for llm agents,P Anokhin; N Semenov; A Sorokin; D Evseev,2024,arXiv preprint arXiv …,"However, these unstructured memory representations do not  , a novel method wherein the  agent constructs and updates a  our Ariadne LLM agent, consisting of the proposed memory",https://arxiv.org/abs/2407.04363,https://arxiv.org/pdf/2407.04363?,83,"/scholar?cites=13149612569640199278&as_sdt=5,33&sciodt=0,33&hl=en"
Position: Episodic memory is the missing piece for long-term llm agents,M Pink; Q Wu; VA Vo; J Turek; J Mu; A Huth,2025,arXiv preprint arXiv …,"To transfer the concept of episodic memory from cogni LLM agents, we highlight five  properties of episodic memory that are useful for LLM agents, and that distinguish episodic memory",https://arxiv.org/abs/2502.06975,https://arxiv.org/pdf/2502.06975,15,"/scholar?cites=9054758054840442991&as_sdt=5,33&sciodt=0,33&hl=en"
Evaluating memory in llm agents via incremental multi-turn interactions,Y Hu; Y Wang; J McAuley,2025,arXiv preprint arXiv:2507.05257,"In this paper, we identify four core competencies essential for memory agents: accurate  retrieval, test-time learning, long-range understanding, and conflict resolution. Existing datasets",https://arxiv.org/abs/2507.05257,https://arxiv.org/pdf/2507.05257,51,"/scholar?cites=15501270950592543158&as_sdt=5,33&sciodt=0,33&hl=en"
Enhancing memory retrieval in generative agents through LLM-trained cross attention networks,C Hong; Q He,2025,Frontiers in Psychology,"effectiveness of our proposed memory retrieval method without direct LLM intervention. For  this  , where agents received specific invitations under different memory retrieval modes, and",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2025.1591618/full,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2025.1591618/full,9,"/scholar?cites=5569839442442013073&as_sdt=5,33&sciodt=0,33&hl=en"
H-MEM: Hierarchical Memory for High-Efficiency Long-Term Reasoning in LLM Agents,H Sun; S Zeng; B Zhang,2026,Proceedings of the 19th Conference of …,"memory organization and efficient retrieval. To address these limitations, we propose a  Hierarchical Memory (H-MEM) architecture for LLM Agents  Each memory vector is embedded",https://aclanthology.org/2026.eacl-long.15/,https://aclanthology.org/2026.eacl-long.15.pdf,23,"/scholar?cites=16791173548428174492&as_sdt=5,33&sciodt=0,33&hl=en"
Evaluating very long-term conversational memory of llm agents,A Maharana; DH Lee; S Tulyakov,2024,Proceedings of the …,We design a long-term conversation generation pipeline based on retrieval augmentation  and events graphs and propose a framework for evaluating long-term dialog,https://aclanthology.org/2024.acl-long.747.pdf,https://aclanthology.org/2024.acl-long.747.pdf,324,"/scholar?cites=856673093413784727&as_sdt=5,33&sciodt=0,33&hl=en"
On the structural memory of llm agents,R Zeng; J Fang; S Liu; Z Meng,2024,arXiv preprint arXiv:2412.15266,"memory retrieval methods: singlestep retrieval, reranking, and iterative  LLM-based agents,  where we focus on the study of memory modules, including memory structures and retrieval",https://arxiv.org/abs/2412.15266,https://arxiv.org/pdf/2412.15266,28,"/scholar?cites=4667804730820726194&as_sdt=5,33&sciodt=0,33&hl=en"
Rap: Retrieval-augmented planning with contextual memory for multimodal llm agents,T Kagaya; TJ Yuan; Y Lou; J Karlekar,2024,arXiv preprint arXiv …,"agents employing LLMs, and embodied agents  agents’ planning capabilities through  memory retrieval techniques, enabling them to selectively access and utilize relevant memory for",https://arxiv.org/abs/2402.03610,https://arxiv.org/pdf/2402.03610,84,"/scholar?cites=15177128396302933505&as_sdt=5,33&sciodt=0,33&hl=en"
A-mem: Agentic memory for llm agents,W Xu; Z Liang; K Mei; H Gao; J Tan; Y Zhang,2025,arXiv preprint arXiv …,"a novel agentic memory system for LLM agents that can dynamically  , we designed our  memory system to create interconnected  During the memory retrieval stage, we extract query",https://arxiv.org/abs/2502.12110,https://arxiv.org/pdf/2502.12110,382,"/scholar?cites=10939924862500772281&as_sdt=5,33&sciodt=0,33&hl=en"
Mem0: Building production-ready ai agents with scalable long-term memory,P Chhikara; D Khant; S Aryan; T Singh,2025,arXiv preprint arXiv …,"coherence, paving the way for more reliable and efficient LLM-driven AI agents.  This  efficiency stems from our selective memory retrieval mechanism and infra improvements that",https://arxiv.org/abs/2504.19413,https://arxiv.org/pdf/2504.19413?,258,"/scholar?cites=13841636716168614955&as_sdt=5,33&sciodt=0,33&hl=en"
Meminsight: Autonomous memory augmentation for llm agents,R Salama; J Cai; M Yuan; A Currey,2025,Proceedings of the …,and apply memory retrieval methods that leverage the generated memory augmentations  to filter out irrelevant memory while  Memory Retrieval For this task we evaluate attribute-based,https://aclanthology.org/2025.emnlp-main.1683/,https://aclanthology.org/2025.emnlp-main.1683.pdf,41,"/scholar?cites=8430298296437070746&as_sdt=5,33&sciodt=0,33&hl=en"
Empowering working memory for large language model agents,J Guo; N Li; J Qi; H Yang; R Li; Y Feng; S Zhang,2023,arXiv preprint arXiv …,"episodic memory encoding, storage, prioritization, retrieval, and  LLM agents with more  sophisticated, humanlike memory  Standard LLM agent designs lack robust episodic memory",https://arxiv.org/abs/2312.17259,https://arxiv.org/pdf/2312.17259,24,"/scholar?cites=8169492757781226689&as_sdt=5,33&sciodt=0,33&hl=en"
Conversational Agents: From RAG to LTM,D Zhang; Y Feng; H Liu; C Sun; J Luo,2025,… Retrieval in the Asia …,While Retrieval-Augmented Generation (RAG) offers a  RAG to advanced Long-Term  Memory (LTM) mechanisms that equip LLM-based conversational agents with human-like memory,https://dl.acm.org/doi/abs/10.1145/3767695.3769671,https://dl.acm.org/doi/pdf/10.1145/3767695.3769671,4,"/scholar?cites=7561385917492416769&as_sdt=5,33&sciodt=0,33&hl=en"
Memory sharing for large language model based agents,H Gao; Y Zhang,2024,arXiv preprint arXiv:2404.09982,"Sharing, a framework which integrates the real-time memory filter, storage and retrieval to  enhance the In-Context Learning process. This framework allows for the sharing of memories",https://arxiv.org/abs/2404.09982,https://arxiv.org/pdf/2404.09982,42,"/scholar?cites=12760140377850710133&as_sdt=5,33&sciodt=0,33&hl=en"
