title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Toolace: Winning the points of llm function calling,W Liu; X Huang; X Zeng; X Hao; S Yu; D Li,2024,arXiv preprint arXiv …,"LLM, we propose a self-guided dialog generation (SDG) module to synthesize the function-calling   Various types of function-calling dialogs are generated via the interaction of multiple",https://arxiv.org/abs/2409.00920,https://arxiv.org/pdf/2409.00920,130,"/scholar?cites=4243709917547674101&as_sdt=5,33&sciodt=0,33&hl=en"
ToolScope: Enhancing LLM Agent Tool Use through Tool Merging and Context-Aware Filtering,MM Liu; D Garcia; F Parllaku; V Upadhyay,2025,arXiv preprint arXiv …,the toolset to fit within the LLM’s input window without  across 3 open-source tool-use  benchmarks covering both single ’s effectiveness in enhancing LLM tool-use capabilities.,https://arxiv.org/abs/2510.20036,https://arxiv.org/pdf/2510.20036,1,"/scholar?cites=14586472334263194517&as_sdt=5,33&sciodt=0,33&hl=en"
An llm-tool compiler for fused parallel function calling,S Singh; A Karatzas; M Fore; I Anagnostopoulos,2024,arXiv preprint arXiv …,The performance degradation for LLM-ToolCompiler  that the speedup for LLM-ToolCompiler  in terms of average time per task is higher than OAI Parallel function calling consistently.,https://arxiv.org/abs/2405.17438,https://arxiv.org/pdf/2405.17438,18,"/scholar?cites=579581788996332107&as_sdt=5,33&sciodt=0,33&hl=en"
The Evolution of Tool Use in LLM Agents: From Single-Tool Call to Multi-Tool Orchestration,H Xu; C Li; X Ma; X Ou; Z Zhang; T He; X Liu,2026,arXiv preprint arXiv …,"Tool use enables large  tool LLM agents and analyzes the state of the art in this  rapidly developing area. First, we unify task formulations and distinguish single-call tool use from",https://arxiv.org/abs/2603.22862,,0,
"Toolsandbox: A stateful, conversational, interactive evaluation benchmark for llm tool use capabilities",J Lu; T Holleis; Y Zhang; B Aumayer,2025,Findings of the …,"the Agent and tools, it relies solely on an LLM evaluator to judge the final pass rate and win   tool-use benchmark. To the best of our knowledge, TOOLSANDBOX is the first LLM tool-use",https://aclanthology.org/2025.findings-naacl.65/,https://aclanthology.org/2025.findings-naacl.65.pdf,99,"/scholar?cites=3502961825382118518&as_sdt=5,33&sciodt=0,33&hl=en"
Tool learning in the wild: Empowering language models as automatic tool agents,Z Shi; S Gao; L Yan; Y Feng; X Chen; Z Chen,2025,Proceedings of the …,"the tool-use workflow. Specifically, the LLM automatically transforms tool documentation into  callable functions, verifying syntax and runtime correctness. Then, the LLM integrates these",https://dl.acm.org/doi/abs/10.1145/3696410.3714825,https://dl.acm.org/doi/pdf/10.1145/3696410.3714825,55,"/scholar?cites=9498023605403911279&as_sdt=5,33&sciodt=0,33&hl=en"
Tool-use Refiner: A Lightweight Plug-and-Play Module for Enhancing LLM Tool-Use,Q Jiao; Y Shen,NA,NA,"that introduces a small-scale LLM as a Tool-use Refiner. This model is designed to correct  and enhance tool-invocations from a larger upstream LLM. Specifically, when a user submits",https://openreview.net/forum?id=Ak4DMpYSM3,https://openreview.net/pdf?id=Ak4DMpYSM3,0,
Llm agents making agent tools,G Wölflein; D Ferber; D Truhn,2025,Proceedings of the …,"OpenAI’s function calling and structured output APIs respectively (OpenAI If the LLM proposes  an action at  Specifically, we ask the LLM to check whether the result returned by the tool is",https://aclanthology.org/2025.acl-long.1266/,https://aclanthology.org/2025.acl-long.1266.pdf,42,"/scholar?cites=17302589649293188991&as_sdt=5,33&sciodt=0,33&hl=en"
Empowering LLM-based Agents: Methods and Challenges in Tool Use,X Du,2025,Applied and Computational Engineering,"Central to this endeavor is the concept of tool use, which  a comprehensive survey of tool  use in LLM-based agents.  implemented through Function Calling, where the LLM outputs a",https://ace.ewapub.com/article/view/28954,https://ace.ewapub.com/article/view/28954.pdf,0,
Toolscan: A benchmark for characterizing errors in tool-use llms,S Kokane; M Zhu; T Awalgaonkar; J Zhang,2024,arXiv preprint arXiv …,• We identify seven common error patterns in LLM tool-use tasks and create an evaluation  framework that analyzes these errors consistently across different agents and environments.,https://arxiv.org/abs/2411.13547,https://arxiv.org/pdf/2411.13547,3,"/scholar?cites=1555921922557512835&as_sdt=5,33&sciodt=0,33&hl=en"
Learning to Rewrite Tool Descriptions for Reliable LLM-Agent Tool Use,R Guo; K Dong; X Gao; K Das,2026,arXiv preprint arXiv:2602.20426,The performance of LLM-based agents depends not only on the agent itself but also on the  quality of the tool interfaces it consumes. While prior work has focused heavily on agent fine-,https://arxiv.org/abs/2602.20426,https://arxiv.org/pdf/2602.20426,0,
