title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Match Score,Abstract Status,Abstract Error
LLM-based agentic systems in medicine and healthcare,J Qiu; K Lam; G Li; A Acharya; TY Wong,2024.0,Nature Machine …,"Here we highlight four areas in which LLM agents present new opportunities, including  clinical workflow automation, trustworthy medical AI, multi-agent-aided diagnosis and health",https://www.nature.com/articles/s42256-024-00944-1,,252,"/scholar?cites=7277691959561725059&as_sdt=5,33&sciodt=0,33&hl=en",LLM-based agentic systems in medicine and healthcare,,,,,skipped,"query_arxiv: ReadTimeout: HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=30)"
Survey on evaluation of llm-based agents,A Yehudai; L Eden; A Li; G Uziel; Y Zhao,2025.0,arXiv preprint arXiv …,"Agents”, “Agents,” and “Agentic Systems”. We adopt the terms “LLM-based agents” and “LLM  agents” to emphasize both the foundational technology (LLMs) and the agentic capabilities",https://arxiv.org/abs/2503.16416,https://arxiv.org/pdf/2503.16416,140,"/scholar?cites=15426870596102221307&as_sdt=5,33&sciodt=0,33&hl=en",Survey on evaluation of llm-based agents,"The emergence of LLM-based agents represents a paradigm shift in AI, enabling autonomous systems to plan, reason, use tools, and maintain memory while interacting with dynamic environments. This paper provides the first comprehensive survey of evaluation methodologies for these increasingly capable agents. We systematically analyze evaluation benchmarks and frameworks across four critical dimensions: (1) fundamental agent capabilities, including planning, tool use, self-reflection, and memory; (2) application-specific benchmarks for web, software engineering, scientific, and conversational agents; (3) benchmarks for generalist agents; and (4) frameworks for evaluating agents. Our analysis reveals emerging trends, including a shift toward more realistic, challenging evaluations with continuously updated benchmarks. We also identify critical gaps that future research must address-particularly in assessing cost-efficiency, safety, and robustness, and in developing fine-grained, and scalable evaluation methods. This survey maps the rapidly evolving landscape of agent evaluation, reveals the emerging trends in the field, identifies current limitations, and proposes directions for future research.",https://doi.org/10.48550/arxiv.2503.16416,OpenAlex,1.0,found,
"Trism for agentic ai: A review of trust, risk, and security management in llm-based agentic multi-agent systems",S Raza; R Sapkota; M Karkee; C Emmanouilidis,2026.0,AI Open,"the conceptual foundations of Agentic AI and highlight its architectural distinctions from  traditional AI agents. We then adapt and extend the AI TRiSM framework for Agentic AI, structured",https://www.sciencedirect.com/science/article/pii/S2666651026000069,https://www.sciencedirect.com/science/article/pii/S2666651026000069,70,"/scholar?cites=16170005542594061268&as_sdt=5,33&sciodt=0,33&hl=en","Trism for agentic ai: A review of trust, risk, and security management in llm-based agentic multi-agent systems","Agentic AI systems, built upon large language models (LLMs) and deployed in multi-agent configurations, are redefining intelligence, autonomy, collaboration, and decision-making across enterprise and societal domains. This review presents a structured analysis of Trust, Risk, and Security Management (TRiSM) in the context of LLM-based Agentic Multi-Agent Systems (AMAS). We begin by examining the conceptual foundations of Agentic AI and highlight its architectural distinctions from traditional AI agents. We then adapt and extend the AI TRiSM framework for Agentic AI, structured around key pillars: Explainability, ModelOps, Security, Privacy and their Lifecycle Governance , each contextualized to the challenges of AMAS. A risk taxonomy is proposed to capture the unique threats and vulnerabilities of Agentic AI, ranging from coordination failures to prompt-based adversarial manipulation. To make coordination and tool use measurable in practice, we propose two metrics: the Component Synergy Score (CSS), which captures inter-agent enablement, and the Tool Utilization Efficacy (TUE), which evaluates whether tools are invoked correctly and efficiently. We further discuss strategies for improving explainability in Agentic AI, as well as approaches to enhancing security and privacy through encryption, adversarial robustness, and regulatory compliance. The review concludes with a research roadmap for the responsible development and deployment of Agentic AI, highlighting key directions to align emerging systems with TRiSM principles-ensuring safety, transparency, and accountability in their operation.",https://doi.org/10.1016/j.aiopen.2026.02.006,OpenAlex,1.0,found,
A survey of llm-based agents in medicine: How far are we from baymax?,W Wang; Z Ma; Z Wang; C Wu; J Ji,2025.0,Findings of the …,This section outlines the core differences between LLMs and LLM-based agents and  highlights the unique considerations required for deploying such agents in medicine. 2.1 LLM vs.,https://aclanthology.org/2025.findings-acl.539/,https://aclanthology.org/2025.findings-acl.539.pdf,107,"/scholar?cites=12217031949031007634&as_sdt=5,33&sciodt=0,33&hl=en",A survey of llm-based agents in medicine: How far are we from baymax?,"Large Language Models (LLMs) are transforming healthcare through the development of LLM-based agents that can understand, reason about, and assist with medical tasks.This survey provides a comprehensive review of LLM-based agents in medicine, examining their architectures, applications, and challenges.We analyze the key components of medical agent systems, including system profiles, clinical planning mechanisms, medical reasoning frameworks, and external capacity enhancement.The survey covers major application scenarios such as clinical decision support, medical documentation, training simulations, and healthcare service optimization.We discuss evaluation frameworks and metrics used to assess these agents' performance in healthcare settings.While LLM-based agents show promise in enhancing healthcare delivery, several challenges remain, including hallucination management, multimodal integration, implementation barriers, and ethical considerations.The survey concludes by highlighting future research directions, including advances in medical reasoning inspired by recent developments in LLM architectures, integration with physical systems, and improvements in training simulations.This work provides researchers and practitioners with a structured overview of the current state and future prospects of LLM-based agents in medicine.",https://doi.org/10.18653/v1/2025.findings-acl.539,OpenAlex,1.0,found,
LLM multi-agent systems: Challenges and open problems,S Han; Q Zhang; W Jin; Z Xu,2024.0,arXiv preprint arXiv:2402.03578,"of multi-agent systems in this  LLM agents beyond the confines of single-agent paradigms.  By leveraging the specialized abilities and collaborative dynamics among agents, multi-agent",https://arxiv.org/abs/2402.03578,https://arxiv.org/pdf/2402.03578,262,"/scholar?cites=1062942653179028763&as_sdt=5,33&sciodt=0,33&hl=en",LLM multi-agent systems: Challenges and open problems,"This paper explores multi-agent systems and identify challenges that remain inadequately addressed. By leveraging the diverse capabilities and roles of individual agents, multi-agent systems can tackle complex tasks through agent collaboration. We discuss optimizing task allocation, fostering robust reasoning through iterative debates, managing complex and layered context information, and enhancing memory management to support the intricate interactions within multi-agent systems. We also explore potential applications of multi-agent systems in blockchain systems to shed light on their future development and application in real-world distributed systems.",https://doi.org/10.48550/arxiv.2402.03578,OpenAlex,1.0,found,
"From llms to llm-based agents for software engineering: A survey of current, challenges and future",H Jin; L Huang; H Cai; J Yan; B Li; H Chen,2024.0,arXiv preprint arXiv …,for LLMs and LLM-based agents for software engineering. In  the work of LLMs and LLM-based  agents from these six topics on pushing the boundaries of LLM-based agents in software,https://arxiv.org/abs/2408.02479,https://arxiv.org/pdf/2408.02479,237,"/scholar?cites=18228541973918888018&as_sdt=5,33&sciodt=0,33&hl=en","From llms to llm-based agents for software engineering: A survey of current, challenges and future","With the rise of large language models (LLMs), researchers are increasingly exploring their applications in var ious vertical domains, such as software engineering. LLMs have achieved remarkable success in areas including code generation and vulnerability detection. However, they also exhibit numerous limitations and shortcomings. LLM-based agents, a novel tech nology with the potential for Artificial General Intelligence (AGI), combine LLMs as the core for decision-making and action-taking, addressing some of the inherent limitations of LLMs such as lack of autonomy and self-improvement. Despite numerous studies and surveys exploring the possibility of using LLMs in software engineering, it lacks a clear distinction between LLMs and LLM based agents. It is still in its early stage for a unified standard and benchmarking to qualify an LLM solution as an LLM-based agent in its domain. In this survey, we broadly investigate the current practice and solutions for LLMs and LLM-based agents for software engineering. In particular we summarise six key topics: requirement engineering, code generation, autonomous decision-making, software design, test generation, and software maintenance. We review and differentiate the work of LLMs and LLM-based agents from these six topics, examining their differences and similarities in tasks, benchmarks, and evaluation metrics. Finally, we discuss the models and benchmarks used, providing a comprehensive analysis of their applications and effectiveness in software engineering. We anticipate this work will shed some lights on pushing the boundaries of LLM-based agents in software engineering for future research.",https://doi.org/10.48550/arxiv.2408.02479,OpenAlex,1.0,found,
Evil geniuses: Delving into the safety of llm-based agents,Y Tian; X Yang; J Zhang; Y Dong; H Su,2023.0,arXiv preprint arXiv:2311.11855,"Our findings indicate that with an increasing number of agents, the attack success rate in  LLM-based agents improves, resulting in more detailed and plausible harmful behaviors.",https://arxiv.org/abs/2311.11855,https://arxiv.org/pdf/2311.11855,130,"/scholar?cites=4790374299251266578&as_sdt=5,33&sciodt=0,33&hl=en",Evil geniuses: Delving into the safety of llm-based agents,"Rapid advancements in large language models (LLMs) have revitalized in LLM-based agents, exhibiting impressive human-like behaviors and cooperative capabilities in various scenarios. However, these agents also bring some exclusive risks, stemming from the complexity of interaction environments and the usability of tools. This paper delves into the safety of LLM-based agents from three perspectives: agent quantity, role definition, and attack level. Specifically, we initially propose to employ a template-based attack strategy on LLM-based agents to find the influence of agent quantity. In addition, to address interaction environment and role specificity issues, we introduce Evil Geniuses (EG), an effective attack method that autonomously generates prompts related to the original role to examine the impact across various role definitions and attack levels. EG leverages Red-Blue exercises, significantly improving the generated prompt aggressiveness and similarity to original roles. Our evaluations on CAMEL, Metagpt and ChatDev based on GPT-3.5 and GPT-4, demonstrate high success rates. Extensive evaluation and discussion reveal that these agents are less robust, prone to more harmful behaviors, and capable of generating stealthier content than LLMs, highlighting significant safety challenges and guiding future research. Our code is available at https://github.com/T1aNS1R/Evil-Geniuses.",https://doi.org/10.48550/arxiv.2311.11855,OpenAlex,1.0,found,
A dynamic LLM-powered agent network for task-oriented agent collaboration,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2024.0,First Conference on Language …,"for LLM-powered agent collaboration named Dynamic LLMPowered Agent Network (DyLAN),  facilitating dynamic communication structures and automatically task-oriented agent",https://openreview.net/forum?noteId=s5GcMkBpGb,https://openreview.net/pdf?id=XII0Wp1XA9,156,"/scholar?cites=3026400046568557452&as_sdt=5,33&sciodt=0,33&hl=en",A dynamic LLM-powered agent network for task-oriented agent collaboration,"Recent studies show that collaborating multiple large language model (LLM) powered agents is a promising way for task solving. However, current approaches are constrained by using a fixed number of agents and static communication structures. In this work, we propose automatically selecting a team of agents from candidates to collaborate in a dynamic communication structure toward different tasks and domains. Specifically, we build a framework named Dynamic LLM-Powered Agent Network ($\textbf{DyLAN}$) for LLM-powered agent collaboration, operating a two-stage paradigm: (1) Team Optimization and (2) Task Solving. During the first stage, we utilize an $\textit{agent selection}$ algorithm, based on an unsupervised metric called $\textit{Agent Importance Score}$, enabling the selection of best agents according to their contributions in a preliminary trial, oriented to the given task. Then, in the second stage, the selected agents collaborate dynamically according to the query. Empirically, we demonstrate that DyLAN outperforms strong baselines in code generation, decision-making, general reasoning, and arithmetic reasoning tasks with moderate computational cost. On specific subjects in MMLU, selecting a team of agents in the team optimization stage improves accuracy by up to 25.0% in DyLAN.",https://doi.org/10.48550/arxiv.2310.02170,OpenAlex,1.0,found,
Simulating classroom education with llm-empowered agents,Z Zhang; D Zhang-Li; J Yu; L Gong; J Zhou,2025.0,Proceedings of the …,"classroom agents enhances  -agent classroom, including collaborative teaching, discussions,  emotional company and discipline management. In summary, the LLM-based multi-agent",https://aclanthology.org/2025.naacl-long.520/,https://aclanthology.org/2025.naacl-long.520.pdf,203,"/scholar?cites=17635113408422097075&as_sdt=5,33&sciodt=0,33&hl=en",Simulating classroom education with llm-empowered agents,"Zheyuan Zhang, Daniel Zhang-Li, Jifan Yu, Linlu Gong, Jinchang Zhou, Zhanxin Hao, Jianxiao Jiang, Jie Cao, Huiqin Liu, Zhiyuan Liu, Lei Hou, Juanzi Li. Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers). 2025.",https://doi.org/10.18653/v1/2025.naacl-long.520,OpenAlex,1.0,found,
Trustagent: Towards safe and trustworthy llm-based agents,W Hua; X Yang; M Jin; Z Li; W Cheng,2024.0,Findings of the …,We considered five domains where LLM agents  LLM agent manages task achievement  while mitigating these risks; the helpfulness metric evaluates the effectiveness of the LLM agent,https://aclanthology.org/2024.findings-emnlp.585/,https://aclanthology.org/2024.findings-emnlp.585.pdf,70,"/scholar?cites=12900998129346945868&as_sdt=5,33&sciodt=0,33&hl=en",Trustagent: Towards safe and trustworthy llm-based agents,"The rise of LLM-based agents shows great potential to revolutionize task planning, capturing significant attention.Given that these agents will be integrated into high-stake domains, ensuring their reliability and safety is crucial.This paper presents an Agent-Constitutionbased agent framework, TrustAgent, with a particular focus on improving the LLM-based agent safety.The proposed framework ensures strict adherence to the Agent Constitution through three strategic components: preplanning strategy which injects safety knowledge to the model before plan generation, inplanning strategy which enhances safety during plan generation, and post-planning strategy which ensures safety by post-planning inspection.Our experimental results demonstrate that the proposed framework can effectively enhance an LLM agent's safety across multiple domains by identifying and mitigating potential dangers during the planning.Further analysis reveals that the framework not only improves safety but also enhances the helpfulness of the agent.Additionally, we highlight the importance of the LLM reasoning ability in adhering to the Constitution.This paper sheds light on how to ensure the safe integration of LLM-based agents into human-centric environments.Data and code are available at https://github.com/ agiresearch/TrustAgent.",https://doi.org/10.18653/v1/2024.findings-emnlp.585,OpenAlex,1.0,found,
