title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
TPTU: large language model-based AI agents for task planning and tool usage,J Ruan; Y Chen; B Zhang; Z Xu; T Bao; G Du,2023.0,arXiv preprint arXiv …,"planning and the usage of external tools. In this paper, we first propose a structured framework  tailored for LLM-based AI Agents and  ie, one-step agent and sequential agent) to execute",https://arxiv.org/abs/2308.03427,https://arxiv.org/pdf/2308.03427,56,"/scholar?cites=7916725756616343845&as_sdt=5,33&sciodt=0,33&hl=en",TPTU: large language model-based AI agents for task planning and tool usage,"With recent advancements in natural language processing, Large Language Models (LLMs) have emerged as powerful tools for various real-world applications. Despite their prowess, the intrinsic generative abilities of LLMs may prove insufficient for handling complex tasks which necessitate a combination of task planning and the usage of external tools. In this paper, we first propose a structured framework tailored for LLM-based AI Agents and discuss the crucial capabilities necessary for tackling intricate problems. Within this framework, we design two distinct types of agents (i.e., one-step agent and sequential agent) to execute the inference process. Subsequently, we instantiate the framework using various LLMs and evaluate their Task Planning and Tool Usage (TPTU) abilities on typical tasks. By highlighting key findings and challenges, our goal is to provide a helpful resource for researchers and practitioners to leverage the power of LLMs in their AI applications. Our study emphasizes the substantial potential of these models, while also identifying areas that need more investigation and improvement.",https://doi.org/10.48550/arxiv.2308.03427,OpenAlex,found
Tptu: Task planning and tool usage of large language model-based ai agents,J Ruan; Y Chen; B Zhang; Z Xu; T Bao,2023.0,… for decision making …,"planning and the usage of external tools. In this paper, we first propose a structured framework  tailored for LLM-based AI Agents and  ie, one-step agent and sequential agent) to execute",https://openreview.net/forum?id=GrkgKtOjaH,https://openreview.net/pdf?id=GrkgKtOjaH,194,"/scholar?cites=215173853357937829&as_sdt=5,33&sciodt=0,33&hl=en",Tptu: Task planning and tool usage of large language model-based ai agents,"With recent advancements in natural language processing, Large Language Models (LLMs) have emerged as powerful tools for various real-world applications. Despite their prowess, the intrinsic generative abilities of LLMs may prove insufficient for handling complex tasks which necessitate a combination of task planning and the usage of external tools. In this paper, we first propose a structured framework tailored for LLM-based AI Agents and discuss the crucial capabilities necessary for tackling intricate problems. Within this framework, we design two distinct types of agents (i.e., one-step agent and sequential agent) to execute the inference process. Subsequently, we instantiate the framework using various LLMs and evaluate their Task Planning and Tool Usage (TPTU) abilities on typical tasks. By highlighting key findings and challenges, our goal is to provide a helpful resource for researchers and practitioners to leverage the power of LLMs in their AI applications. Our study emphasizes the substantial potential of these models, while also identifying areas that need more investigation and improvement.",https://doi.org/10.48550/arxiv.2308.03427,OpenAlex,found
LLM-based and retrieval-augmented control code generation,H Koziolek; S Grüner; R Hark; V Ashiwal,2024.0,Proceedings of the 1st …,"Popular large language models (LLM) can synthesize low- tasks, we proposed a  retrieval-augmented control code  -use proprietary and well-tested function blocks, and speed up",https://dl.acm.org/doi/abs/10.1145/3643795.3648384,https://dl.acm.org/doi/pdf/10.1145/3643795.3648384,86,"/scholar?cites=4991834901771272963&as_sdt=5,33&sciodt=0,33&hl=en",LLM-based and retrieval-augmented control code generation,"Control code is designed and implemented for industrial automation applications that manage power plants, petrochemical processes, or steel production. Popular large language models (LLM) can synthesize low-level control code in the Structured Text programming notation according to the standard IEC 61131-3, but are not aware of proprietary control code function block libraries, which are often used in practice. To automate control logic implementation tasks, we proposed a retrieval-augmented control code generation method that can integrate such function blocks into the generated code. With this method control engineers can benefit from the code generation capabilities of LLMs, re-use proprietary and well-tested function blocks, and speed up typical programming tasks significantly. We have evaluated the method using a prototypical implementation based on GPT-4, LangChain, Open-PLC, and the open-source OSCAT function block library. In several spot sample tests, we successfully generated IEC 61131-3 ST code that integrated the desired function blocks, could be compiled, and validated through simulations.",https://doi.org/10.1145/3643795.3648384,OpenAlex,found
A survey on large language model based autonomous agents,L Wang; C Ma; X Feng; Z Zhang; H Yang,2024.0,Frontiers of Computer …,"construction of LLM-based autonomous agents, proposing a  applications of LLM-based  autonomous agents in social  commonly used for LLM-based autonomous agents. Based",https://link.springer.com/article/10.1007/s11704-024-40231-1,https://link.springer.com/content/pdf/10.1007/s11704-024-40231-1.pdf,3083,"/scholar?cites=14371622504724745017&as_sdt=5,33&sciodt=0,33&hl=en",A survey on large language model based autonomous agents,"Abstract Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field.",https://doi.org/10.1007/s11704-024-40231-1,OpenAlex,found
Bolaa: Benchmarking and orchestrating llm-augmented autonomous agents,Z Liu; W Yao; J Zhang; L Xue; S Heinecke,2023.0,arXiv preprint arXiv …,"LLM-augmented Autonomous Agents (LAAs). An LAA is able to generate actions with its core  LLM  in terms of both agent architectures and LLM backbones. Additionally, we propose a",https://arxiv.org/abs/2308.05960,https://arxiv.org/pdf/2308.05960,120,"/scholar?cites=7461840210213149264&as_sdt=5,33&sciodt=0,33&hl=en",Bolaa: Benchmarking and orchestrating llm-augmented autonomous agents,"The massive successes of large language models (LLMs) encourage the emerging exploration of LLM-augmented Autonomous Agents (LAAs). An LAA is able to generate actions with its core LLM and interact with environments, which facilitates the ability to resolve complex tasks by conditioning on past interactions such as observations and actions. Since the investigation of LAA is still very recent, limited explorations are available. Therefore, we provide a comprehensive comparison of LAA in terms of both agent architectures and LLM backbones. Additionally, we propose a new strategy to orchestrate multiple LAAs such that each labor LAA focuses on one type of action, \textit{i.e.} BOLAA, where a controller manages the communication among multiple agents. We conduct simulations on both decision-making and multi-step reasoning environments, which comprehensively justify the capacity of LAAs. Our performance results provide quantitative suggestions for designing LAA architectures and the optimal choice of LLMs, as well as the compatibility of both. We release our implementation code of LAAs to the public at \url{https://github.com/salesforce/BOLAA}.",https://doi.org/10.48550/arxiv.2308.05960,OpenAlex,found
agentar: Creating augmented reality applications with tool-augmented llm-based autonomous agents,C Zhu; SK Hsia; X Hu; Z Liu; J Shi,2025.0,Proceedings of the 38th …,New opportunities to address this gap have been introduced by the emergence of tool-augmented  large language model (LLM)– based autonomous agents [88] (tool-augmented agents,https://dl.acm.org/doi/abs/10.1145/3746059.3747676,https://dl.acm.org/doi/pdf/10.1145/3746059.3747676,8,"/scholar?cites=2909842038433279784&as_sdt=5,33&sciodt=0,33&hl=en",agentar: Creating augmented reality applications with tool-augmented llm-based autonomous agents,,,,skipped
Can LLM-augmented autonomous agents cooperate? An evaluation of their cooperative capabilities through melting pot,M Mosquera; JS Pinzon; Y Fonseca,2025.0,IEEE Transactions …,This paper investigates the cooperative cabilities of Large Language Model-augmented  Autonomous Agents (LAAs) using the well-known Melting Pot environments along with,https://ieeexplore.ieee.org/abstract/document/11002554/,https://arxiv.org/pdf/2403.11381,18,"/scholar?cites=1661302152368744800&as_sdt=5,33&sciodt=0,33&hl=en",Can LLM-augmented autonomous agents cooperate? An evaluation of their cooperative capabilities through melting pot,"As artificial intelligence continues to advance, a key aspect of this progression is the development of Large Language Models (LLMs) and their capacity to enhance multi-agent artificial intelligence systems. This paper investigates the cooperative cabilities of Large Language Model-augmented Autonomous Agents (LAAs) using the well-known Melting Pot environments along with reference models such as <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">GPT-4o</i>, <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">GPT-4o mini</i>, GPT-4, and GPT-3.5. Preliminary results suggest that comprehensive LAA architectures significantly improve performance in Melting Pot’s multi-agent scenarios, outperforming reinforcement learning baselines in two out of three scenarios and surpassing a simpler Chain-of-Thought agent architecture in all scenarios. The Melting Pot environments are specifically designed to assess multi-agent systems, requiring agents to exhibit cooperative behavior to solve conditions effectively.",https://doi.org/10.1109/tai.2025.3569192,OpenAlex,found
Large Language Model-Based Autonomous Agents,P Garg; D Beeram,2024.0,International Journal of Computer Trends and …,One of the primary gaps in the current research arena pertaining to LLM-based Autonomous  Agents lies in the lack of standardized architectures and frameworks that are directly,https://www.researchgate.net/profile/Divya-Beeram/publication/384332406_Large_Language_Model-Based_Autonomous_Agents/links/66f4e254f599e0392fa2f921/Large-Language-Model-Based-Autonomous-Agents.pdf,https://www.researchgate.net/profile/Divya-Beeram/publication/384332406_Large_Language_Model-Based_Autonomous_Agents/links/66f4e254f599e0392fa2f921/Large-Language-Model-Based-Autonomous-Agents.pdf,5,"/scholar?cites=13394312384375165501&as_sdt=5,33&sciodt=0,33&hl=en",Large Language Model-Based Autonomous Agents,"Abstract Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field.",https://doi.org/10.1007/s11704-024-40231-1,OpenAlex,found
Personality-driven decision-making in LLM-based autonomous agents,L Newsham; D Prince,2025.0,arXiv preprint arXiv:2504.00727,"The embedding of Large Language Models (LLMs) into autonomous agents is a rapidly  developing field which enables dynamic, configurable behaviours without the need for extensive",https://arxiv.org/abs/2504.00727,https://arxiv.org/pdf/2504.00727?,15,"/scholar?cites=2167904126723463474&as_sdt=5,33&sciodt=0,33&hl=en",Personality-driven decision-making in LLM-based autonomous agents,"The embedding of Large Language Models (LLMs) into autonomous agents is a rapidly developing field which enables dynamic, configurable behaviours without the need for extensive domain-specific training. In our previous work, we introduced SANDMAN, a Deceptive Agent architecture leveraging the Five-Factor OCEAN personality model, demonstrating that personality induction significantly influences agent task planning. Building on these findings, this study presents a novel method for measuring and evaluating how induced personality traits affect task selection processes-specifically planning, scheduling, and decision-making-in LLM-based agents. Our results reveal distinct task-selection patterns aligned with induced OCEAN attributes, underscoring the feasibility of designing highly plausible Deceptive Agents for proactive cyber defense strategies.",https://doi.org/10.65109/upog9306,OpenAlex,found
Fundamentals of building autonomous llm agents,V de Lamo Castrillo; HK Gidey; A Lenz,2025.0,arXiv preprint arXiv …,LLM agents represent a new paradigm that breaks traditional  Engaging with LLM agents  is comparable to engaging with a  Building on this vision of LLM agents as intelligent,https://brianburns.com/blogs/how-to-build-ai-systems-that-work/Castrillo%20-%20Fundamentals%20of%20Building%20Autonomous%20LLM%20Agents.pdf,https://brianburns.com/blogs/how-to-build-ai-systems-that-work/Castrillo%20-%20Fundamentals%20of%20Building%20Autonomous%20LLM%20Agents.pdf,5,"/scholar?cites=9707965935562790241&as_sdt=5,33&sciodt=0,33&hl=en",Fundamentals of building autonomous llm agents,"This paper reviews the architecture and implementation methods of agents powered by large language models (LLMs). Motivated by the limitations of traditional LLMs in real-world tasks, the research aims to explore patterns to develop ""agentic"" LLMs that can automate complex tasks and bridge the performance gap with human capabilities. Key components include a perception system that converts environmental percepts into meaningful representations; a reasoning system that formulates plans, adapts to feedback, and evaluates actions through different techniques like Chain-of-Thought and Tree-of-Thought; a memory system that retains knowledge through both short-term and long-term mechanisms; and an execution system that translates internal decisions into concrete actions. This paper shows how integrating these systems leads to more capable and generalized software bots that mimic human cognitive processes for autonomous and intelligent behavior.",https://doi.org/10.48550/arxiv.2510.09244,OpenAlex,found
