title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Agentcoord: Visually exploring coordination strategy for llm-based multi-agent collaboration,B Pan; J Lu; K Wang; L Zheng; Z Wen; Y Feng,2025.0,Computers & …,"To address this, we present a visual agent collaboration  the coordination strategies of LLM  agents. We first establish a structured representation for LLM-based multi-agent coordination",https://www.sciencedirect.com/science/article/pii/S0097849325001797,https://arxiv.org/pdf/2404.11943,63,"/scholar?cites=751483703909328379&as_sdt=5,33&sciodt=0,33&hl=en",Agentcoord: Visually exploring coordination strategy for llm-based multi-agent collaboration,"The potential of automatic task-solving through Large Language Model (LLM)-based multi-agent collaboration has recently garnered widespread attention from both the research community and industry. While utilizing natural language to coordinate multiple agents presents a promising avenue for democratizing agent technology for general users, designing coordination strategies remains challenging with existing coordination frameworks. This difficulty stems from the inherent ambiguity of natural language for specifying the collaboration process and the significant cognitive effort required to extract crucial information (e.g. agent relationship, task dependency, result correspondence) from a vast amount of text-form content during exploration. In this work, we present a visual exploration framework to facilitate the design of coordination strategies in multi-agent collaboration. We first establish a structured representation for LLM-based multi-agent coordination strategy to regularize the ambiguity of natural language. Based on this structure, we devise a three-stage generation method that leverages LLMs to convert a user's general goal into an executable initial coordination strategy. Users can further intervene at any stage of the generation process, utilizing LLMs and a set of interactions to explore alternative strategies. Whenever a satisfactory strategy is identified, users can commence the collaboration and examine the visually enhanced execution result. We develop AgentCoord, a prototype interactive system, and conduct a formal user study to demonstrate the feasibility and effectiveness of our approach.",https://doi.org/10.48550/arxiv.2404.11943,OpenAlex,found
Multiagentbench: Evaluating the collaboration and competition of llm agents,K Zhu; H Du; Z Hong; X Yang; S Guo,2025.0,Proceedings of the …,"(Multi-agent cooRdination Backbone with LLM Engine),  that rigorously evaluates LLM-based  multiagent systems in six  ""aha-moments"" in multi-agent coordination—agents begin to",https://aclanthology.org/2025.acl-long.421/,https://aclanthology.org/2025.acl-long.421.pdf,117,"/scholar?cites=18373405712514968202&as_sdt=5,33&sciodt=0,33&hl=en",Multiagentbench: Evaluating the collaboration and competition of llm agents,,,,skipped
Dynamic llm-agent network: An llm-agent collaboration framework with agent team optimization,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2023.0,arXiv preprint arXiv:2310.02170,"To improve the efficiency and the performance of LLM-agent collaboration on various  tasks, we propose to (1) add inference-time agent selection at a middle time step and (2) use",https://arxiv.org/abs/2310.02170,https://arxiv.org/pdf/2310.02170,254,"/scholar?cites=14033654343850454790&as_sdt=5,33&sciodt=0,33&hl=en",Dynamic llm-agent network: An llm-agent collaboration framework with agent team optimization,,,,skipped
Multi-agent collaboration: Harnessing the power of intelligent llm agents,Y Talebirad; A Nadiri,2023.0,arXiv preprint arXiv:2306.03314,each agent and encouraging a synergistic relationship amongst them.  multi-agent collaboration  in the realm of IGAs. The exploration and demonstration of such a model of collaboration,https://arxiv.org/abs/2306.03314,https://arxiv.org/pdf/2306.03314,443,"/scholar?cites=15411602927533565437&as_sdt=5,33&sciodt=0,33&hl=en",Multi-agent collaboration: Harnessing the power of intelligent llm agents,"In this paper, we present a novel framework for enhancing the capabilities of large language models (LLMs) by leveraging the power of multi-agent systems. Our framework introduces a collaborative environment where multiple intelligent agent components, each with distinctive attributes and roles, work together to handle complex tasks more efficiently and effectively. We demonstrate the practicality and versatility of our framework through case studies in artificial general intelligence (AGI), specifically focusing on the Auto-GPT and BabyAGI models. We also examine the ""Gorilla"" model, which integrates external APIs into the LLM. Our framework addresses limitations and challenges such as looping issues, security risks, scalability, system evaluation, and ethical considerations. By modeling various domains such as courtroom simulations and software development scenarios, we showcase the potential applications and benefits of our proposed multi-agent system. Our framework provides an avenue for advancing the capabilities and performance of LLMs through collaboration and knowledge exchange among intelligent agents.",https://doi.org/10.48550/arxiv.2306.03314,OpenAlex,found
Scaling large language model-based multi-agent collaboration,C Qian; Z Xie; Y Wang; W Liu; K Zhu; H Xia,2024.0,arXiv preprint arXiv …,"multi-agent collaboration by introducing MACNET, a scalable framework that utilizes graphs  to organize agents  it effectively supports collaboration among over a thousand agents, with",https://arxiv.org/abs/2406.07155,https://arxiv.org/pdf/2406.07155?,176,"/scholar?cites=9698518956329935677&as_sdt=5,33&sciodt=0,33&hl=en",Scaling large language model-based multi-agent collaboration,"Recent breakthroughs in large language model-driven autonomous agents have revealed that multi-agent collaboration often surpasses each individual through collective reasoning. Inspired by the neural scaling law--increasing neurons enhances performance, this study explores whether the continuous addition of collaborative agents can yield similar benefits. Technically, we utilize directed acyclic graphs to organize agents into a multi-agent collaboration network (MacNet), upon which their interactive reasoning is topologically orchestrated for autonomous task solving. Extensive evaluations reveal that it effectively supports collaboration among over a thousand agents, with irregular topologies outperforming regular ones. We also identify a collaborative scaling law--the overall performance follows a logistic growth pattern as agents scale, with collaborative emergence occurring earlier than traditional neural emergence. We speculate this may be because scaling agents catalyzes their multidimensional considerations during interactive reflection and refinement, thereby producing more comprehensive artifacts. The code is available at https://github.com/OpenBMB/ChatDev/tree/macnet.",https://doi.org/10.48550/arxiv.2406.07155,OpenAlex,found
Multi-agent collaboration mechanisms: A survey of llms,KT Tran; D Dao; MD Nguyen; QV Pham,2025.0,arXiv preprint arXiv …,"between LLM-based agents in multi-agent collaborative systems. With collaboration as the   on the operational mechanisms of LLM-based multi-agent collaboration, emphasizing the """,https://arxiv.org/abs/2501.06322,https://arxiv.org/pdf/2501.06322,434,"/scholar?cites=5890953875175699534&as_sdt=5,33&sciodt=0,33&hl=en",Multi-agent collaboration mechanisms: A survey of llms,,,,skipped
A dynamic LLM-powered agent network for task-oriented agent collaboration,Z Liu; Y Zhang; P Li; Y Liu; D Yang,2024.0,First Conference on Language …,"for LLM-powered agent collaboration named Dynamic LLMPowered Agent Network (DyLAN),  facilitating dynamic communication structures and automatically task-oriented agent",https://openreview.net/forum?noteId=s5GcMkBpGb,https://openreview.net/pdf?id=XII0Wp1XA9,156,"/scholar?cites=3026400046568557452&as_sdt=5,33&sciodt=0,33&hl=en",A dynamic LLM-powered agent network for task-oriented agent collaboration,"Recent studies show that collaborating multiple large language model (LLM) powered agents is a promising way for task solving. However, current approaches are constrained by using a fixed number of agents and static communication structures. In this work, we propose automatically selecting a team of agents from candidates to collaborate in a dynamic communication structure toward different tasks and domains. Specifically, we build a framework named Dynamic LLM-Powered Agent Network ($\textbf{DyLAN}$) for LLM-powered agent collaboration, operating a two-stage paradigm: (1) Team Optimization and (2) Task Solving. During the first stage, we utilize an $\textit{agent selection}$ algorithm, based on an unsupervised metric called $\textit{Agent Importance Score}$, enabling the selection of best agents according to their contributions in a preliminary trial, oriented to the given task. Then, in the second stage, the selected agents collaborate dynamically according to the query. Empirically, we demonstrate that DyLAN outperforms strong baselines in code generation, decision-making, general reasoning, and arithmetic reasoning tasks with moderate computational cost. On specific subjects in MMLU, selecting a team of agents in the team optimization stage improves accuracy by up to 25.0% in DyLAN.",https://doi.org/10.48550/arxiv.2310.02170,OpenAlex,found
Llm-coordination: evaluating and analyzing multi-agent coordination abilities in large language models,S Agashe; Y Fan; A Reyna,2025.0,Findings of the Association …,"We also observe that LLM agents are capable of collaborating with new  ) that fail to adapt  to unseen agents.  , we pair our LLM agents as well as baselines with proxy-human agents.",https://aclanthology.org/2025.findings-naacl.448/,https://aclanthology.org/2025.findings-naacl.448.pdf,89,"/scholar?cites=17807496829242414710&as_sdt=5,33&sciodt=0,33&hl=en",Llm-coordination: evaluating and analyzing multi-agent coordination abilities in large language models,"Large Language Models (LLMs) have demonstrated emergent common-sense reasoning and Theory of Mind (ToM) capabilities, making them promising candidates for developing coordination agents. This study introduces the LLM-Coordination Benchmark, a novel benchmark for analyzing LLMs in the context of Pure Coordination Settings, where agents must cooperate to maximize gains. Our benchmark evaluates LLMs through two distinct tasks. The first is Agentic Coordination, where LLMs act as proactive participants in four pure coordination games. The second is Coordination Question Answering (CoordQA), which tests LLMs on 198 multiple-choice questions across these games to evaluate three key abilities: Environment Comprehension, ToM Reasoning, and Joint Planning. Results from Agentic Coordination experiments reveal that LLM-Agents excel in multi-agent coordination settings where decision-making primarily relies on environmental variables but face challenges in scenarios requiring active consideration of partners' beliefs and intentions. The CoordQA experiments further highlight significant room for improvement in LLMs' Theory of Mind reasoning and joint planning capabilities. Zero-Shot Coordination (ZSC) experiments in the Agentic Coordination setting demonstrate that LLM agents, unlike RL methods, exhibit robustness to unseen partners. These findings indicate the potential of LLMs as Agents in pure coordination setups and underscore areas for improvement. Code Available at https://github.com/eric-ai-lab/llm_coordination.",https://doi.org/10.48550/arxiv.2310.03903,OpenAlex,found
On the resilience of llm-based multi-agent collaboration with faulty agents,J Huang; J Zhou; T Jin; X Zhou; Z Chen,2024.0,arXiv preprint arXiv …,Error Rate We examine two aspects of error injection in multi-agent collaboration systems:  Macro Perspective: We control the ratio of erroneous messages produced by a faulty agent in,https://arxiv.org/abs/2408.00989,https://arxiv.org/pdf/2408.00989,49,"/scholar?cites=2137458891747473244&as_sdt=5,33&sciodt=0,33&hl=en",On the resilience of llm-based multi-agent collaboration with faulty agents,"Large language model-based multi-agent systems have shown great abilities across various tasks due to the collaboration of expert agents, each focusing on a specific domain. However, the impact of clumsy or even malicious agents--those who frequently make errors in their tasks--on the overall performance of the system remains underexplored. This paper investigates: (1) What is the resilience of various system structures (e.g., A$\rightarrow$B$\rightarrow$C, A$\leftrightarrow$B$\leftrightarrow$C) under faulty agents, on different downstream tasks? (2) How can we increase system resilience to defend against these agents? To simulate faulty agents, we propose two approaches--AutoTransform and AutoInject--which introduce mistakes into the agents' responses. Experiments on four downstream tasks using six systems show that the ""hierarchical"" structure, i.e., A$\rightarrow$(B$\leftrightarrow$C), exhibits superior resilience with the lowest performance drop of 5.5%, compared to 10.5% and 23.7% of other two structures. To further improve resilience, we introduce (1) Challenger, that introduces a mechanism for each agent to challenge others' outputs, and (2) Inspector, an additional agent to review and correct messages, recovering up to 96.4% errors made by faulty agents. Our code and data are available at https://github.com/CUHK-ARISE/MAS-Resilience.",https://doi.org/10.48550/arxiv.2408.00989,OpenAlex,found
Llm collaboration with multi-agent reinforcement learning,S Liu; Z Liang; X Lyu; C Amato,2026.0,… of the AAAI Conference on Artificial …,"each agent to encourage collaboration. To address this challenge, we model LLM collaboration  as a cooperative Multi-Agent  We develop a multi-agent, multi-turn algorithm, MultiAgent",https://ojs.aaai.org/index.php/AAAI/article/view/40487,https://ojs.aaai.org/index.php/AAAI/article/download/40487/44448,18,"/scholar?cites=3597771097166850162&as_sdt=5,33&sciodt=0,33&hl=en",Llm collaboration with multi-agent reinforcement learning,"A large amount of work has been done in Multi-Agent Systems (MAS) for modeling and solving problems with multiple interacting agents. However, most LLMs are pretrained independently and not specifically optimized for coordination. Existing LLM fine-tuning frameworks rely on individual rewards, which require complex reward designs for each agent to encourage collaboration. To address these challenges, we model LLM collaboration as a cooperative Multi-Agent Reinforcement Learning (MARL) problem. We develop a multi-agent, multi-turn algorithm, Multi-Agent Group Relative Policy Optimization (MAGRPO), to solve it, building on current RL approaches for LLMs as well as MARL techniques. Our experiments on LLM writing and coding collaboration demonstrate that fine-tuning MAS with MAGRPO enables agents to generate high-quality responses efficiently through effective cooperation. Our approach opens the door to using MARL methods for LLM collaboration and highlights the associated challenges.",https://doi.org/10.1609/aaai.v40i38.40487,OpenAlex,found
