title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Cut the crap: An economical communication pipeline for llm-based multi-agent systems,G Zhang; Y Yue; Z Li; S Yun; G Wan; K Wang,2024.0,arXiv preprint arXiv …,"Multi-agent Communication We provide a graph-based description of the reasoning  in  task-oriented multi-agent systems. Given a query/task q, it is sequentially fed to each agent, which",https://arxiv.org/abs/2410.02506,https://arxiv.org/pdf/2410.02506,145,"/scholar?cites=1944541303192862019&as_sdt=5,33&sciodt=0,33&hl=en",Cut the crap: An economical communication pipeline for llm-based multi-agent systems,"Recent advancements in large language model (LLM)-powered agents have shown that collective intelligence can significantly outperform individual capabilities, largely attributed to the meticulously designed inter-agent communication topologies. Though impressive in performance, existing multi-agent pipelines inherently introduce substantial token overhead, as well as increased economic costs, which pose challenges for their large-scale deployments. In response to this challenge, we propose an economical, simple, and robust multi-agent communication framework, termed $\texttt{AgentPrune}$, which can seamlessly integrate into mainstream multi-agent systems and prunes redundant or even malicious communication messages. Technically, $\texttt{AgentPrune}$ is the first to identify and formally define the \textit{communication redundancy} issue present in current LLM-based multi-agent pipelines, and efficiently performs one-shot pruning on the spatial-temporal message-passing graph, yielding a token-economic and high-performing communication topology. Extensive experiments across six benchmarks demonstrate that $\texttt{AgentPrune}$ \textbf{(I)} achieves comparable results as state-of-the-art topologies at merely $\$5.6$ cost compared to their $\$43.7$, \textbf{(II)} integrates seamlessly into existing multi-agent frameworks with $28.1\%\sim72.8\%\downarrow$ token reduction, and \textbf{(III)} successfully defend against two types of agent-based adversarial attacks with $3.5\%\sim10.8\%\uparrow$ performance boost.",http://arxiv.org/abs/2410.02506v1,arXiv,found
Beyond self-talk: A communication-centric survey of llm-based multi-agent systems,B Yan; Z Zhou; L Zhang; L Zhang; Z Zhou,2025.0,arXiv preprint arXiv …,"communication in coordinating agent behaviors and interactions. To address this gap, this  paper presents a comprehensive survey of LLM-MAS from a communication- communication (",https://arxiv.org/abs/2502.14321,https://arxiv.org/pdf/2502.14321,82,"/scholar?cites=17442279443176846074&as_sdt=5,33&sciodt=0,33&hl=en",Beyond self-talk: A communication-centric survey of llm-based multi-agent systems,,,,skipped
Adapting llm agents through communication,K Wang; Y Lu; M Santacroce; Y Gong; C Zhang,2023.0,,"While these prominent research works focus on aligning LLMs for general instruction-following,  our objective is to adapt LLM agents for specific tasks or environments.",https://openreview.net/forum?id=wOelVq8fwL,https://openreview.net/pdf?id=wOelVq8fwL,29,"/scholar?cites=17510879803628757619&as_sdt=5,33&sciodt=0,33&hl=en",Adapting llm agents through communication,,,,skipped
Large language model enhanced multi-agent systems for 6G communications,F Jiang; Y Peng; L Dong; K Wang,2024.0,IEEE Wireless …,"To this end, we propose CommLLM, a multi-agent system with customized communication   for constructing AI agents. In the article, we define a typical LLM enhanced agent system in Fig",https://ieeexplore.ieee.org/abstract/document/10638533/,https://arxiv.org/pdf/2312.07850,196,"/scholar?cites=12439253059233971415&as_sdt=5,33&sciodt=0,33&hl=en",Large language model enhanced multi-agent systems for 6G communications,,,,skipped
"A survey of llm-driven ai agent communication: Protocols, security risks, and defense countermeasures",D Kong; S Lin; Z Xu; Z Wang; M Li; Y Li,2025.0,arXiv preprint arXiv …,"agent communication development, this paper presents a comprehensive survey of agent  communication  More precisely, we present the first clear definition of agent communication.",https://arxiv.org/abs/2506.19676,https://arxiv.org/pdf/2506.19676,48,"/scholar?cites=2162921262184037896&as_sdt=5,33&sciodt=0,33&hl=en","A survey of llm-driven ai agent communication: Protocols, security risks, and defense countermeasures",,,,skipped
Llm harmony: Multi-agent communication for problem solving,S Rasal,2024.0,arXiv preprint arXiv:2401.01312,"This paper introduces a novel multi-agent communication framework, inspired by the  multiple  LLM agents, each with a distinct persona, engaged in role-playing communication, offering",https://arxiv.org/abs/2401.01312,https://arxiv.org/pdf/2401.01312,48,"/scholar?cites=11510423689847668854&as_sdt=5,33&sciodt=0,33&hl=en",Llm harmony: Multi-agent communication for problem solving,"While large language models (LLM) have demonstrated significant advances in natural language processing, complex mathematical reasoning remains a challenging task, often revealing their limitations in multi-stage calculations and logical consistency. Multi-agent systems have become a promising paradigm for overcoming these limitations by distributing cognitive tasks between interacting agents, reflecting the dynamics of human problem solving. This paper provides a comparative review of the literature on nineteen different multi-agent architectures for solving mathematical problems. Our main research question is: ""How do various LLM-based multi-agent architectures enable or improve mathematical problems, and what are their comparative advantages, limitations, and design trade-offs?"" Through a systematic analysis of the roles of agents, interaction mechanisms, and training methods, we have identified several key findings. We observe the evolution of architecture from unstructured debate-based systems to more efficient hierarchical and self-optimizing frameworks. We highlight persistent problems that hinder progress, including agent homogeneity, when agents working on the same LLM cannot generate truly diverse reasoning, and the problem of ""lazy agents"", when some agents contribute minimal to consistent collaboration. This review contributes to a structured understanding of the current situation and lays the foundation for future research aimed at developing more reliable, efficient, and complex multi-agent reasoning systems.",10.20944/preprints202512.1105.v1,Crossref,found
Red-teaming llm multi-agent systems via communication attacks,P He; Y Lin; S Dong; H Xu; Y Xing,2025.0,Findings of the …,"passing between agents. To enable the attack under the challenges of limited control and  rolerestricted communication format, we develop an LLM-powered adversarial agent with a re",https://aclanthology.org/2025.findings-acl.349/,https://aclanthology.org/2025.findings-acl.349.pdf,68,"/scholar?cites=4575843784399184237&as_sdt=5,33&sciodt=0,33&hl=en",Red-teaming llm multi-agent systems via communication attacks,,,,skipped
"… of agent interoperability protocols: Model context protocol (mcp), agent communication protocol (acp), agent-to-agent protocol (a2a), and agent network protocol (anp)",A Ehtesham; A Singh; GK Gupta; S Kumar,2025.0,arXiv preprint arXiv …,"-level standards that prescribe a common schema for function metadata, dynamic capability  negotiation, and end-to-end security guarantees across heterogeneous LLM agent platforms",https://arxiv.org/abs/2505.02279,https://arxiv.org/pdf/2505.02279,137,"/scholar?cites=14859703164805953672&as_sdt=5,33&sciodt=0,33&hl=en","… of agent interoperability protocols: Model context protocol (mcp), agent communication protocol (acp), agent-to-agent protocol (a2a), and agent network protocol (anp)",,,,skipped
Understanding the information propagation effects of communication topologies in llm-based multi-agent systems,X Shen; Y Liu; Y Dai; Y Wang; R Miao,2025.0,Proceedings of the …,"Topology Design Problem In this paper, we aim to design a communication topology for  a LLM-based MAS that maximizes the utility of the collective output under a given task query.",https://aclanthology.org/2025.emnlp-main.623/,https://aclanthology.org/2025.emnlp-main.623.pdf,26,"/scholar?cites=7758758790975832849&as_sdt=5,33&sciodt=0,33&hl=en",Understanding the information propagation effects of communication topologies in llm-based multi-agent systems,,,,skipped
"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",X Li; S Wang; S Zeng; Y Wu; Y Yang,2024.0,Vicinagearth,"multiple specialized agents, endowed with distinct identities, engage in communication and   This process underscores the importance of inter-agent communication, reasoning with",https://link.springer.com/article/10.1007/s44336-024-00009-2,https://link.springer.com/article/10.1007/s44336-024-00009-2,515,"/scholar?cites=2428406754672008977&as_sdt=5,33&sciodt=0,33&hl=en","A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges","Abstract The pursuit of more intelligent and credible autonomous systems, akin to human society, has been a long-standing endeavor for humans. Leveraging the exceptional reasoning and planning capabilities of large language models (LLMs), LLM-based agents have been proposed and have achieved remarkable success across a wide array of tasks. Notably, LLM-based multi-agent systems (MAS) are considered a promising pathway towards realizing general artificial intelligence that is equivalent to or surpasses human-level intelligence. In this paper, we present a comprehensive survey of these studies, offering a systematic review of LLM-based MAS. Adhering to the workflow of LLM-based multi-agent systems, we synthesize a general structure encompassing five key components: profile, perception, self-action, mutual interaction, and evolution. This unified framework encapsulates much of the previous work in the field. Furthermore, we illuminate the extensive applications of LLM-based MAS in two principal areas: problem-solving and world simulation. Finally, we discuss in detail several contemporary challenges and provide insights into potential future directions in this domain.",10.1007/s44336-024-00009-2,Crossref,found
