title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Memory matters: The need to improve long-term memory in llm-agents,K Hatalis; D Christou; J Myers; S Jones,2023,Proceedings of the …,"Long-term memory solutions currently implemented via vector databases have significant   to develop LLM agents, describe their use of vector databases for long-term memory, identify",https://ojs.aaai.org/index.php/AAAI-SS/article/view/27688,https://ojs.aaai.org/index.php/AAAI-SS/article/download/27688/27461,102,"/scholar?cites=329469941284550594&as_sdt=5,33&sciodt=0,33&hl=en",Memory matters: The need to improve long-term memory in llm-agents,"In this paper, we provide a review of the current efforts to develop LLM agents, which are autonomous agents that leverage large language models. We examine the memory management approaches used in these agents. One crucial aspect of these agents is their long-term memory, which is often implemented using vector databases. We describe how vector databases are utilized to store and retrieve information in LLM agents. Moreover we highlight open problems, such as the separation of different types of memories and the management of memory over the agent's lifetime. Lastly, we propose several topics for future research to address these challenges and further enhance the capabilities of LLM agents, including the use of metadata in procedural and semantic memory and the integration of external knowledge sources with vector databases.",10.1609/aaaiss.v2i1.27688,Crossref,found
Mirix: Multi-agent memory system for llm-based agents,Y Wang; X Chen,2025,arXiv preprint arXiv:2507.07957,"This memory system, which we call MIRIX, is modular and  full memory system for LLM-based  agents. Moreover, when interacting with the Chat Agent, we propose an Active Retrieval",https://arxiv.org/abs/2507.07957,https://arxiv.org/pdf/2507.07957?,64,"/scholar?cites=17165080738112837085&as_sdt=5,33&sciodt=0,33&hl=en",Mirix: Multi-agent memory system for llm-based agents,,,,skipped
Arigraph: Learning knowledge graph world models with episodic memory for llm agents,P Anokhin; N Semenov; A Sorokin; D Evseev,2024,arXiv preprint arXiv …,"However, these unstructured memory representations do not  , a novel method wherein the  agent constructs and updates a  our Ariadne LLM agent, consisting of the proposed memory",https://arxiv.org/abs/2407.04363,https://arxiv.org/pdf/2407.04363?,83,"/scholar?cites=13149612569640199278&as_sdt=5,33&sciodt=0,33&hl=en",Arigraph: Learning knowledge graph world models with episodic memory for llm agents,"Advancements in the capabilities of Large Language Models (LLMs) have created a promising foundation for developing autonomous agents. With the right tools, these agents could learn to solve tasks in new environments by accumulating and updating their knowledge. Current LLM-based agents process past experiences using a full history of observations, summarization, retrieval augmentation. However, these unstructured memory representations do not facilitate the reasoning and planning essential for complex decision-making. In our study, we introduce AriGraph, a novel method wherein the agent constructs and updates a memory graph that integrates semantic and episodic memories while exploring the environment. We demonstrate that our Ariadne LLM agent, consisting of the proposed memory architecture augmented with planning and decision-making, effectively handles complex tasks within interactive text game environments difficult even for human players. Results show that our approach markedly outperforms other established memory methods and strong RL baselines in a range of problems of varying complexity. Additionally, AriGraph demonstrates competitive performance compared to dedicated knowledge graph-based methods in static multi-hop question-answering.",10.24963/ijcai.2025/2,Crossref,found
Position: Episodic memory is the missing piece for long-term llm agents,M Pink; Q Wu; VA Vo; J Turek; J Mu; A Huth,2025,arXiv preprint arXiv …,"To transfer the concept of episodic memory from cogni LLM agents, we highlight five  properties of episodic memory that are useful for LLM agents, and that distinguish episodic memory",https://arxiv.org/abs/2502.06975,https://arxiv.org/pdf/2502.06975,15,"/scholar?cites=9054758054840442991&as_sdt=5,33&sciodt=0,33&hl=en",Position: Episodic memory is the missing piece for long-term llm agents,,,,skipped
Evaluating memory in llm agents via incremental multi-turn interactions,Y Hu; Y Wang; J McAuley,2025,arXiv preprint arXiv:2507.05257,"In this paper, we identify four core competencies essential for memory agents: accurate  retrieval, test-time learning, long-range understanding, and conflict resolution. Existing datasets",https://arxiv.org/abs/2507.05257,https://arxiv.org/pdf/2507.05257,51,"/scholar?cites=15501270950592543158&as_sdt=5,33&sciodt=0,33&hl=en",Evaluating memory in llm agents via incremental multi-turn interactions,,,,skipped
Enhancing memory retrieval in generative agents through LLM-trained cross attention networks,C Hong; Q He,2025,Frontiers in Psychology,"effectiveness of our proposed memory retrieval method without direct LLM intervention. For  this  , where agents received specific invitations under different memory retrieval modes, and",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2025.1591618/full,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2025.1591618/full,9,"/scholar?cites=5569839442442013073&as_sdt=5,33&sciodt=0,33&hl=en",Enhancing memory retrieval in generative agents through LLM-trained cross attention networks,"Introduction The surge in the capabilities of large language models (LLMs) has propelled the development of Artificial General Intelligence (AGI), highlighting generative agents as pivotal components for emulating complex AI behaviors. Given the high costs associated with individually training LLMs for each AI agent, there is a critical need for advanced memory retrieval mechanisms to maintain the unique characteristics and memories of individual AI agents. Methods In this research, we developed a text-based simulation of a generative agent world, constructing a community with multiple agents and locations in which certain levels of interaction were enabled. Within this framework, we introduced a novel memory retrieval system using an Auxiliary Cross Attention Network (ACAN). This system calculates and ranks attention weights between an agent's current state and stored memories, selecting the most relevant memories for any given situation. In a novel approach, we incorporated LLM assistance, comparing memories retrieved by our model with those extracted using a base method during training, and constructing a novel loss function based on these comparisons to optimize the training process effectively. To our knowledge, this is the first study to utilize LLMs to train a dedicated agent memory retrieval network. Results Our empirical evaluations demonstrate that this approach substantially enhances the quality of memory retrieval, thereby increasing the adaptability and behavioral consistency of agents in fluctuating environments. Discussion Our findings not only introduce new perspectives and methodologies for memory retrieval in generative agents but also extend the utility of LLMs in memory management across varied AI agent applications.",10.3389/fpsyg.2025.1591618,Crossref,found
H-MEM: Hierarchical Memory for High-Efficiency Long-Term Reasoning in LLM Agents,H Sun; S Zeng; B Zhang,2026,Proceedings of the 19th Conference of …,"memory organization and efficient retrieval. To address these limitations, we propose a  Hierarchical Memory (H-MEM) architecture for LLM Agents  Each memory vector is embedded",https://aclanthology.org/2026.eacl-long.15/,https://aclanthology.org/2026.eacl-long.15.pdf,23,"/scholar?cites=16791173548428174492&as_sdt=5,33&sciodt=0,33&hl=en",H-MEM: Hierarchical Memory for High-Efficiency Long-Term Reasoning in LLM Agents,,,,skipped
Evaluating very long-term conversational memory of llm agents,A Maharana; DH Lee; S Tulyakov,2024,Proceedings of the …,We design a long-term conversation generation pipeline based on retrieval augmentation  and events graphs and propose a framework for evaluating long-term dialog,https://aclanthology.org/2024.acl-long.747.pdf,https://aclanthology.org/2024.acl-long.747.pdf,324,"/scholar?cites=856673093413784727&as_sdt=5,33&sciodt=0,33&hl=en",Evaluating very long-term conversational memory of llm agents,"Existing works on long-term open-domain dialogues focus on evaluating model responses within contexts spanning no more than five chat sessions. Despite advancements in long-context large language models (LLMs) and retrieval augmented generation (RAG) techniques, their efficacy in very long-term dialogues remains unexplored. To address this research gap, we introduce a machine-human pipeline to generate high-quality, very long-term dialogues by leveraging LLM-based agent architectures and grounding their dialogues on personas and temporal event graphs. Moreover, we equip each agent with the capability of sharing and reacting to images. The generated conversations are verified and edited by human annotators for long-range consistency and grounding to the event graphs. Using this pipeline, we collect LoCoMo, a dataset of very long-term conversations, each encompassing 300 turns and 9K tokens on avg., over up to 35 sessions. Based on LoCoMo, we present a comprehensive evaluation benchmark to measure long-term memory in models, encompassing question answering, event summarization, and multi-modal dialogue generation tasks. Our experimental results indicate that LLMs exhibit challenges in understanding lengthy conversations and comprehending long-range temporal and causal dynamics within dialogues. Employing strategies like long-context LLMs or RAG can offer improvements but these models still substantially lag behind human performance.",10.48550/arXiv.2402.17753,SemanticScholar,found
On the structural memory of llm agents,R Zeng; J Fang; S Liu; Z Meng,2024,arXiv preprint arXiv:2412.15266,"memory retrieval methods: singlestep retrieval, reranking, and iterative  LLM-based agents,  where we focus on the study of memory modules, including memory structures and retrieval",https://arxiv.org/abs/2412.15266,https://arxiv.org/pdf/2412.15266,28,"/scholar?cites=4667804730820726194&as_sdt=5,33&sciodt=0,33&hl=en",On the structural memory of llm agents,,,,skipped
Rap: Retrieval-augmented planning with contextual memory for multimodal llm agents,T Kagaya; TJ Yuan; Y Lou; J Karlekar,2024,arXiv preprint arXiv …,"agents employing LLMs, and embodied agents  agents’ planning capabilities through  memory retrieval techniques, enabling them to selectively access and utilize relevant memory for",https://arxiv.org/abs/2402.03610,https://arxiv.org/pdf/2402.03610,84,"/scholar?cites=15177128396302933505&as_sdt=5,33&sciodt=0,33&hl=en",Rap: Retrieval-augmented planning with contextual memory for multimodal llm agents,,,,skipped
A-mem: Agentic memory for llm agents,W Xu; Z Liang; K Mei; H Gao; J Tan; Y Zhang,2025,arXiv preprint arXiv …,"a novel agentic memory system for LLM agents that can dynamically  , we designed our  memory system to create interconnected  During the memory retrieval stage, we extract query",https://arxiv.org/abs/2502.12110,https://arxiv.org/pdf/2502.12110,382,"/scholar?cites=10939924862500772281&as_sdt=5,33&sciodt=0,33&hl=en",A-mem: Agentic memory for llm agents,,,,skipped
Mem0: Building production-ready ai agents with scalable long-term memory,P Chhikara; D Khant; S Aryan; T Singh,2025,arXiv preprint arXiv …,"coherence, paving the way for more reliable and efficient LLM-driven AI agents.  This  efficiency stems from our selective memory retrieval mechanism and infra improvements that",https://arxiv.org/abs/2504.19413,https://arxiv.org/pdf/2504.19413?,258,"/scholar?cites=13841636716168614955&as_sdt=5,33&sciodt=0,33&hl=en",Mem0: Building production-ready ai agents with scalable long-term memory,"Large Language Models (LLMs) have demonstrated remarkable prowess in generating contextually coherent responses, yet their fixed context windows pose fundamental challenges for maintaining consistency over prolonged multi-session dialogues. We introduce Mem0, a scalable memory-centric architecture that addresses this issue by dynamically extracting, consolidating, and retrieving salient information from ongoing conversations. Building on this foundation, we further propose an enhanced variant that leverages graph-based memory representations to capture complex relational structures among conversational elements. Through comprehensive evaluations on the LOCOMO benchmark, we systematically compare our approaches against six baseline categories. Empirical results demonstrate that our methods consistently outperform all existing memory systems across four question categories: single-hop, temporal, multi-hop, and open-domain. Notably, Mem0 achieves 26% relative improvements in the LLM-as-a-Judge metric over OpenAI, while Mem0 with graph memory achieves around 2% higher overall score than the base Mem0 configuration. Beyond accuracy gains, we also markedly reduce computational overhead compared to the full-context approach. In particular, Mem0 attains a 91% lower p95 latency and saves more than 90% token cost, thereby offering a compelling balance between advanced reasoning capabilities and practical deployment constraints. Our findings highlight the critical role of structured, persistent memory mechanisms for long-term conversational coherence, paving the way for more reliable and efficient LLM-driven AI agents. Code: https://mem0.ai/research.",10.3233/faia251160,Crossref,found
Meminsight: Autonomous memory augmentation for llm agents,R Salama; J Cai; M Yuan; A Currey,2025,Proceedings of the …,and apply memory retrieval methods that leverage the generated memory augmentations  to filter out irrelevant memory while  Memory Retrieval For this task we evaluate attribute-based,https://aclanthology.org/2025.emnlp-main.1683/,https://aclanthology.org/2025.emnlp-main.1683.pdf,41,"/scholar?cites=8430298296437070746&as_sdt=5,33&sciodt=0,33&hl=en",Meminsight: Autonomous memory augmentation for llm agents,,,,skipped
