title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Survey on evaluation of llm-based agents,A Yehudai; L Eden; A Li; G Uziel; Y Zhao,2025.0,arXiv preprint arXiv …,"”, “AI Agents”, “Agents,” and “Agentic Systems”. We adopt the terms “LLM-based agents”  and “LLM agents” to emphasize both the foundational technology (LLMs) and the agentic",https://arxiv.org/abs/2503.16416,https://arxiv.org/pdf/2503.16416,140,"/scholar?cites=15426870596102221307&as_sdt=5,33&sciodt=0,33&hl=en",Survey on evaluation of llm-based agents,,,,skipped
Evaluation and benchmarking of llm agents: A survey,M Mohammadi; Y Li; J Lo; W Yip,2025.0,Proceedings of the 31st ACM SIGKDD …,"We propose a two-dimensional taxonomy to organize different aspects of the evaluation of  LLM-based agents, structured along the axes of Evaluation Objectives (what to evaluate) and",https://dl.acm.org/doi/abs/10.1145/3711896.3736570,https://dl.acm.org/doi/pdf/10.1145/3711896.3736570,87,"/scholar?cites=4143708014406616729&as_sdt=5,33&sciodt=0,33&hl=en",Evaluation and benchmarking of llm agents: A survey,"The rise of LLM-based agents has opened new frontiers in AI applications, yet evaluating these agents remains a complex and underdeveloped area. This survey provides an in-depth overview of the emerging field of LLM agent evaluation, introducing a two-dimensional taxonomy that organizes existing work along (1) evaluation objectives -- what to evaluate, such as agent behavior, capabilities, reliability, and safety -- and (2) evaluation process -- how to evaluate, including interaction modes, datasets and benchmarks, metric computation methods, and tooling. In addition to taxonomy, we highlight enterprise-specific challenges, such as role-based access to data, the need for reliability guarantees, dynamic and long-horizon interactions, and compliance, which are often overlooked in current research. We also identify future research directions, including holistic, more realistic, and scalable evaluation. This work aims to bring clarity to the fragmented landscape of agent evaluation and provide a framework for systematic assessment, enabling researchers and practitioners to evaluate LLM agents for real-world deployment.",http://arxiv.org/abs/2507.21504v1,arXiv,found
Agentharm: A benchmark for measuring harmfulness of llm agents,M Andriushchenko; A Souly; M Dziemian,2024.0,arXiv preprint arXiv …,"on LLM agent misuse, we propose a new benchmark called AgentHarm. The benchmark   a reliable, standardized benchmark for measuring robustness of LLM agents against a broad",https://arxiv.org/abs/2410.09024,https://arxiv.org/pdf/2410.09024,191,"/scholar?cites=2401564792328774425&as_sdt=5,33&sciodt=0,33&hl=en",Agentharm: A benchmark for measuring harmfulness of llm agents,,,,skipped
Agentboard: An analytical evaluation board of multi-turn llm agents,C Ma; J Zhang; Z Zhu; C Yang,2024.0,Advances in neural …,"(DeepSeek-AI et al., 2024) taking the lead; (2) Strong LLM agents  the importance of analytic  evaluation of LLM agents. The detailed  contribute to the further development of LLM agents.",https://proceedings.neurips.cc/paper_files/paper/2024/hash/877b40688e330a0e2a3fc24084208dfa-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/877b40688e330a0e2a3fc24084208dfa-Paper-Datasets_and_Benchmarks_Track.pdf,110,"/scholar?cites=2185560437422050791&as_sdt=5,33&sciodt=0,33&hl=en",Agentboard: An analytical evaluation board of multi-turn llm agents,,,,skipped
Agent-safetybench: Evaluating the safety of llm agents,Z Zhang; S Cui; Y Lu; J Zhou; J Yang; H Wang,2024.0,arXiv preprint arXiv …,"assessment and further improvement. In this paper, we introduce AGENTSAFETYBENCH, a  comprehensive benchmark  Our evaluation of 16 popular LLM agents reveals a concerning",https://arxiv.org/abs/2412.14470,https://arxiv.org/pdf/2412.14470,117,"/scholar?cites=13632653504669362134&as_sdt=5,33&sciodt=0,33&hl=en",Agent-safetybench: Evaluating the safety of llm agents,"As large language models (LLMs) are increasingly deployed as agents, their integration into interactive environments and tool use introduce new safety challenges beyond those associated with the models themselves. However, the absence of comprehensive benchmarks for evaluating agent safety presents a significant barrier to effective assessment and further improvement. In this paper, we introduce Agent-SafetyBench, a comprehensive benchmark designed to evaluate the safety of LLM agents. Agent-SafetyBench encompasses 349 interaction environments and 2,000 test cases, evaluating 8 categories of safety risks and covering 10 common failure modes frequently encountered in unsafe interactions. Our evaluation of 16 popular LLM agents reveals a concerning result: none of the agents achieves a safety score above 60%. This highlights significant safety challenges in LLM agents and underscores the considerable need for improvement. Through failure mode and helpfulness analysis, we summarize two fundamental safety defects in current LLM agents: lack of robustness and lack of risk awareness. Furthermore, our findings suggest that reliance on defense prompts alone may be insufficient to address these safety issues, emphasizing the need for more advanced and robust strategies. To drive progress in this area, Agent-SafetyBench has been released at https://github.com/thu-coai/Agent-SafetyBench/ to facilitate further research in agent safety evaluation and improvement.",http://arxiv.org/abs/2412.14470v2,arXiv,found
Investorbench: A benchmark for financial decision-making tasks with llm-based agent,H Li; Y Cao; Y Yu; SR Javaji; Z Deng; Y He,2025.0,Proceedings of the …,"Such benchmarks would enable a more robust assessment  opensource, LLM-based agent  benchmark that generalizes  stock investment decisions, our benchmark extends the scope to",https://aclanthology.org/2025.acl-long.126/,https://aclanthology.org/2025.acl-long.126.pdf,65,"/scholar?cites=18331699355436372517&as_sdt=5,33&sciodt=0,33&hl=en",Investorbench: A benchmark for financial decision-making tasks with llm-based agent,,,,skipped
Chateval: Towards better llm-based evaluators through multi-agent debate,CM Chan; W Chen; Y Su; J Yu; W Xue; S Zhang,2023.0,arXiv preprint arXiv …,"in the evaluation, we resort to a multi-agent debate framework, moving beyond single-  Agent means that we directly query an LLM to generate the response towards the evaluation",https://arxiv.org/abs/2308.07201,https://arxiv.org/pdf/2308.07201,929,"/scholar?cites=5895022507506453381&as_sdt=5,33&sciodt=0,33&hl=en",Chateval: Towards better llm-based evaluators through multi-agent debate,,,,skipped
Agentbench: Evaluating llms as agents,X Liu; H Yu; H Zhang; Y Xu; X Lei; H Lai; Y Gu,2023.0,arXiv preprint arXiv …,", we analyze some important factors that impact an LLM agent’s performance on  AGENTBENCH, including outcome portion analysis, code training, and the difference between API-",https://arxiv.org/abs/2308.03688,https://arxiv.org/pdf/2308.03688,532,"/scholar?cites=17298865796446863019&as_sdt=5,33&sciodt=0,33&hl=en",Agentbench: Evaluating llms as agents,,,,skipped
Benchmark self-evolving: A multi-agent framework for dynamic llm evaluation,S Wang; Z Long; Z Fan; XJ Huang,2025.0,Proceedings of the 31st …,"of the instance verifier agent is to validate the correctness of  auto-generated by an LLM-based  agent, the inclusion of this  It has two primary purposes: (1) mitigating the impact of LLM’",https://aclanthology.org/2025.coling-main.223/,https://aclanthology.org/2025.coling-main.223.pdf,36,"/scholar?cites=16027641746415881956&as_sdt=5,33&sciodt=0,33&hl=en",Benchmark self-evolving: A multi-agent framework for dynamic llm evaluation,,,,skipped
Mobile-bench: An evaluation benchmark for llm-based mobile agents,S Deng; W Xu; H Sun; W Liu; T Tan,2024.0,Proceedings of the …,"(3) Current evaluation metrics are insufficient to accurately assess the process of sequential   Bench, a novel benchmark for evaluating the capabilities of LLM-based mobile agents. First,",https://aclanthology.org/2024.acl-long.478/,https://aclanthology.org/2024.acl-long.478.pdf,70,"/scholar?cites=9879217706727691006&as_sdt=5,33&sciodt=0,33&hl=en",Mobile-bench: An evaluation benchmark for llm-based mobile agents,,,,skipped
