title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Toolace: Winning the points of llm function calling,W Liu; X Huang; X Zeng; X Hao; S Yu; D Li,2024.0,arXiv preprint arXiv …,"LLM, we propose a self-guided dialog generation (SDG) module to synthesize the function-calling   Various types of function-calling dialogs are generated via the interaction of multiple",https://arxiv.org/abs/2409.00920,https://arxiv.org/pdf/2409.00920,130,"/scholar?cites=4243709917547674101&as_sdt=5,33&sciodt=0,33&hl=en",Toolace: Winning the points of llm function calling,"Function calling significantly extends the application boundary of large language models, where high-quality and diverse training data is critical for unlocking this capability. However, real function-calling data is quite challenging to collect and annotate, while synthetic data generated by existing pipelines tends to lack coverage and accuracy. In this paper, we present ToolACE, an automatic agentic pipeline designed to generate accurate, complex, and diverse tool-learning data. ToolACE leverages a novel self-evolution synthesis process to curate a comprehensive API pool of 26,507 diverse APIs. Dialogs are further generated through the interplay among multiple agents, guided by a formalized thinking process. To ensure data accuracy, we implement a dual-layer verification system combining rule-based and model-based checks. We demonstrate that models trained on our synthesized data, even with only 8B parameters, achieve state-of-the-art performance on the Berkeley Function-Calling Leaderboard, rivaling the latest GPT-4 models. Our model and a subset of the data are publicly available at https://huggingface.co/Team-ACE.",10.48550/arXiv.2409.00920,SemanticScholar,found
ToolScope: Enhancing LLM Agent Tool Use through Tool Merging and Context-Aware Filtering,MM Liu; D Garcia; F Parllaku; V Upadhyay,2025.0,arXiv preprint arXiv …,the toolset to fit within the LLM’s input window without  across 3 open-source tool-use  benchmarks covering both single ’s effectiveness in enhancing LLM tool-use capabilities.,https://arxiv.org/abs/2510.20036,https://arxiv.org/pdf/2510.20036,1,"/scholar?cites=14586472334263194517&as_sdt=5,33&sciodt=0,33&hl=en",ToolScope: Enhancing LLM Agent Tool Use through Tool Merging and Context-Aware Filtering,,,,skipped
An llm-tool compiler for fused parallel function calling,S Singh; A Karatzas; M Fore; I Anagnostopoulos,2024.0,arXiv preprint arXiv …,The performance degradation for LLM-ToolCompiler  that the speedup for LLM-ToolCompiler  in terms of average time per task is higher than OAI Parallel function calling consistently.,https://arxiv.org/abs/2405.17438,https://arxiv.org/pdf/2405.17438,18,"/scholar?cites=579581788996332107&as_sdt=5,33&sciodt=0,33&hl=en",An llm-tool compiler for fused parallel function calling,,,,skipped
The Evolution of Tool Use in LLM Agents: From Single-Tool Call to Multi-Tool Orchestration,H Xu; C Li; X Ma; X Ou; Z Zhang; T He; X Liu,2026.0,arXiv preprint arXiv …,"Tool use enables large  tool LLM agents and analyzes the state of the art in this  rapidly developing area. First, we unify task formulations and distinguish single-call tool use from",https://arxiv.org/abs/2603.22862,,0,,The Evolution of Tool Use in LLM Agents: From Single-Tool Call to Multi-Tool Orchestration,,,,skipped
"Toolsandbox: A stateful, conversational, interactive evaluation benchmark for llm tool use capabilities",J Lu; T Holleis; Y Zhang; B Aumayer,2025.0,Findings of the …,"the Agent and tools, it relies solely on an LLM evaluator to judge the final pass rate and win   tool-use benchmark. To the best of our knowledge, TOOLSANDBOX is the first LLM tool-use",https://aclanthology.org/2025.findings-naacl.65/,https://aclanthology.org/2025.findings-naacl.65.pdf,99,"/scholar?cites=3502961825382118518&as_sdt=5,33&sciodt=0,33&hl=en","Toolsandbox: A stateful, conversational, interactive evaluation benchmark for llm tool use capabilities",,,,skipped
Tool learning in the wild: Empowering language models as automatic tool agents,Z Shi; S Gao; L Yan; Y Feng; X Chen; Z Chen,2025.0,Proceedings of the …,"the tool-use workflow. Specifically, the LLM automatically transforms tool documentation into  callable functions, verifying syntax and runtime correctness. Then, the LLM integrates these",https://dl.acm.org/doi/abs/10.1145/3696410.3714825,https://dl.acm.org/doi/pdf/10.1145/3696410.3714825,55,"/scholar?cites=9498023605403911279&as_sdt=5,33&sciodt=0,33&hl=en",Tool learning in the wild: Empowering language models as automatic tool agents,,,,skipped
Tool-use Refiner: A Lightweight Plug-and-Play Module for Enhancing LLM Tool-Use,Q Jiao; Y Shen,,,"that introduces a small-scale LLM as a Tool-use Refiner. This model is designed to correct  and enhance tool-invocations from a larger upstream LLM. Specifically, when a user submits",https://openreview.net/forum?id=Ak4DMpYSM3,https://openreview.net/pdf?id=Ak4DMpYSM3,0,,Tool-use Refiner: A Lightweight Plug-and-Play Module for Enhancing LLM Tool-Use,,,,skipped
Llm agents making agent tools,G Wölflein; D Ferber; D Truhn,2025.0,Proceedings of the …,"OpenAI’s function calling and structured output APIs respectively (OpenAI If the LLM proposes  an action at  Specifically, we ask the LLM to check whether the result returned by the tool is",https://aclanthology.org/2025.acl-long.1266/,https://aclanthology.org/2025.acl-long.1266.pdf,42,"/scholar?cites=17302589649293188991&as_sdt=5,33&sciodt=0,33&hl=en",Llm agents making agent tools,,,,skipped
Empowering LLM-based Agents: Methods and Challenges in Tool Use,X Du,2025.0,Applied and Computational Engineering,"Central to this endeavor is the concept of tool use, which  a comprehensive survey of tool  use in LLM-based agents.  implemented through Function Calling, where the LLM outputs a",https://ace.ewapub.com/article/view/28954,https://ace.ewapub.com/article/view/28954.pdf,0,,Empowering LLM-based Agents: Methods and Challenges in Tool Use,"The emergence of Large Language Model (LLM)-based agents marks a significant step towards more capable Artificial Intelligence. However, the effectiveness of these agents is fundamentally constrained by the static nature of their internal knowledge. Tool use has become a critical paradigm to overcome these limitations, enabling agents to interact with dynamic data, execute complex computations, and act upon the world. This paper provides a comprehensive survey of the methods, challenges, and future directions in empowering LLM-based agents with tool-use capabilities. Through a systematic literature review, we synthesized the current state of the art, charting the evolution from foundational agent architectures and core invocation mechanisms like function calling to advanced strategies such as dynamic tool retrieval and autonomous tool creation. Our analysis revealed several critical challenges that impede the deployment of robust agents, including knowledge conflicts between internal priors and external evidence, significant performance degradation in long-context scenarios, non-monotonic scaling behaviors in compound systems, and novel security vulnerabilities. By mapping the current research landscape and identifying these key obstacles, this survey proposes a research agenda to guide future efforts in building more capable, secure, and reliable AI agents.",10.54254/2755-2721/2026.tj28954,Crossref,found
Toolscan: A benchmark for characterizing errors in tool-use llms,S Kokane; M Zhu; T Awalgaonkar; J Zhang,2024.0,arXiv preprint arXiv …,• We identify seven common error patterns in LLM tool-use tasks and create an evaluation  framework that analyzes these errors consistently across different agents and environments.,https://arxiv.org/abs/2411.13547,https://arxiv.org/pdf/2411.13547,3,"/scholar?cites=1555921922557512835&as_sdt=5,33&sciodt=0,33&hl=en",Toolscan: A benchmark for characterizing errors in tool-use llms,,,,skipped
Learning to Rewrite Tool Descriptions for Reliable LLM-Agent Tool Use,R Guo; K Dong; X Gao; K Das,2026.0,arXiv preprint arXiv:2602.20426,The performance of LLM-based agents depends not only on the agent itself but also on the  quality of the tool interfaces it consumes. While prior work has focused heavily on agent fine-,https://arxiv.org/abs/2602.20426,https://arxiv.org/pdf/2602.20426,0,,Learning to Rewrite Tool Descriptions for Reliable LLM-Agent Tool Use,,,,skipped
PORTool: Tool-Use LLM Training with Rewarded Tree,F Wu; W Zhu; Y Zhang; S Chatterjee; J Zhu,2025.0,arXiv preprint arXiv …,"A tool-use LLM is equipped with tool-integrated reasoning (TIR),  that enables an LLM with  the tool-use capability. Therefore, we  method that reinforces an LLM to utilize external tools.",https://arxiv.org/abs/2510.26020,https://arxiv.org/pdf/2510.26020,3,"/scholar?cites=11071588112686069057&as_sdt=5,33&sciodt=0,33&hl=en",PORTool: Tool-Use LLM Training with Rewarded Tree,,,,skipped
Llm with tools: A survey,Z Shen,2024.0,arXiv preprint arXiv:2409.18807,method for using external tools for large models. This paradigm provides a macro perspective  that allows us to gain insight into the actual use of external tools in large-scale models.,https://arxiv.org/abs/2409.18807,https://arxiv.org/pdf/2409.18807?,113,"/scholar?cites=11716785278761722307&as_sdt=5,33&sciodt=0,33&hl=en",Llm with tools: A survey,,,,skipped
AutoTool: Efficient tool selection for large language model agents,J Jia; Q Li,2026.0,Proceedings of the AAAI Conference on Artificial …,"Large Language Model (LLM) agents  LLM to determine which tool to use at each step. In  this work, we propose AutoTool, a novel graph-based framework that bypasses repeated LLM",https://ojs.aaai.org/index.php/AAAI/article/view/40389,https://ojs.aaai.org/index.php/AAAI/article/view/40389/44350,3,"/scholar?cites=2658291224664167039&as_sdt=5,33&sciodt=0,33&hl=en",AutoTool: Efficient tool selection for large language model agents,"Large Language Model (LLM) agents have emerged as powerful tools for automating complex tasks by leveraging the reasoning and decision-making abilities of LLMs. However, a major bottleneck in current agent frameworks lies in the high inference cost of tool selection, especially in approaches like ReAct that repeatedly invoke the LLM to determine which tool to use at each step. In this work, we propose AutoTool, a novel graph-based framework that bypasses repeated LLM inference by exploiting a key empirical observation: tool usage inertia—the tendency of tool invocations to follow predictable sequential patterns. AutoTool constructs a directed graph from historical agent trajectories, where nodes represent tools and edges capture transition probabilities, effectively modeling the inertia in tool selection. It further integrates parameter-level information to refine tool input generation. By traversing this structured representation, AutoTool efficiently selects tools and their parameters with minimal reliance on LLM inference. Extensive experiments across diverse agent tasks demonstrate that AutoTool reduces inference costs by up to 30% while maintaining competitive task completion rates, offering a practical and scalable enhancement for inference-heavy frameworks. Our work highlights the promise of integrating statistical structure into LLM agent design for greater efficiency without sacrificing performance.",10.1609/aaai.v40i37.40389,Crossref,found
